IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,best_overall_label
paxi044,0,1,1,1,2,5,2,1
pivi588,1,0,0,0,0,0,0,0
weda047,1,0,0,0,3,2,3,0
zoka501,1,1,0,0,1,3,1,0
hyku415,1,0,0,0,4,6,4,0
syvi476,0,1,0,1,1,8,1,0
kuqy630,1,0,0,0,4,4,4,0
node314,0,0,0,0,0,4,0,0
mybu425,1,0,0,0,0,0,0,0
pyqy867,1,0,0,0,3,9,3,0
tywo507,1,0,0,0,3,9,3,0
nuhi137,0,1,0,0,1,3,1,0
vuho146,0,0,0,0,0,0,0,0
nysa238,0,0,0,0,0,4,0,0
kisa730,1,0,0,0,4,7,4,0
doza768,0,0,0,0,4,4,4,0
sapu497,0,0,0,0,0,0,0,0
dila385,1,0,0,0,0,0,0,0
pymu787,0,0,0,0,2,4,2,0
bejy525,1,0,0,0,0,0,0,0
bajo794,1,0,0,0,3,9,3,0
dugu064,0,1,0,1,0,4,0,0
hiwu738,1,0,0,0,3,9,3,0
zucy684,1,0,0,0,4,6,4,0
huxe147,0,1,0,0,1,1,1,0
woza563,0,0,0,0,0,4,0,0
neku787,1,0,0,0,3,0,3,0
navo572,1,1,0,0,1,1,1,0
gola051,1,0,0,0,1,3,1,0
pyzo535,0,1,1,1,2,4,2,1
xoky149,0,0,0,0,0,4,0,0
loxu319,1,0,0,0,3,9,3,0
qisu640,0,0,0,0,2,7,2,0
gery678,0,1,1,1,2,5,2,1
huho039,1,0,0,0,4,7,4,0
wozo826,0,0,0,1,2,4,2,0
soru820,0,0,0,0,2,4,2,0
fari709,0,1,1,1,2,1,2,1
qapo730,0,1,0,0,0,1,0,0
najy705,0,1,0,0,1,8,1,0
sejy814,1,0,0,0,3,9,3,0
laze716,1,0,0,0,0,0,0,0
kojo378,0,1,0,0,1,8,1,0
tepu554,1,0,0,0,3,9,3,0
dyva324,0,1,0,0,1,1,1,0
pusu302,0,1,1,1,2,5,2,1
xamy888,0,1,0,0,3,9,3,0
ninu744,0,1,0,1,1,8,1,0
punu537,1,0,0,0,1,3,1,0
zufa556,0,1,1,1,2,8,2,1
losy787,0,1,1,1,2,4,2,1
fuxa711,0,1,0,0,1,1,1,0
myzo000,1,0,0,0,0,0,0,0
jygo886,0,0,0,0,0,1,0,0
dyzo734,0,1,1,1,2,5,2,1
ciky680,1,0,0,0,0,1,0,0
nopo152,0,1,0,0,1,1,1,0
tivy194,0,0,0,0,1,3,1,0
biry098,0,1,0,0,1,1,1,0
tebo981,1,0,0,0,3,2,3,0
jyma323,1,0,0,0,3,9,3,0
cani065,1,0,0,0,3,1,3,0
puxi257,0,1,0,0,1,8,1,0
jemy201,1,0,0,0,1,3,1,0
woqa919,1,0,0,0,3,9,3,0
huze427,0,1,0,0,1,8,1,0
jaxe723,1,0,0,0,3,3,3,0
xamy676,0,0,0,0,0,0,0,0
lowy720,1,0,0,0,4,7,4,0
mixa281,0,1,0,0,0,1,0,0
sipy389,0,1,1,1,2,1,2,1
bube109,1,0,0,0,3,9,3,0
