template_version,cluster_label,outcome,f_statistic,df_between,df_within,p_value,eta_squared
GLOBAL,gmm_bic_best_label,S1,97.29254363069798,4,532,1.1102230246251565e-16,0.4224737027817903
GLOBAL,gmm_bic_best_label,S2,215.8697148270539,4,532,1.1102230246251565e-16,0.6187688574058873
GLOBAL,gmm_bic_best_label,S3,116.62499302140158,4,532,1.1102230246251565e-16,0.467200786306693
GLOBAL,gmm_bic_best_label,S4,33.37820110799444,4,532,1.1102230246251565e-16,0.200616432235188
GLOBAL,gmm_bic_best_label,S5,49.87022867486528,4,532,1.1102230246251565e-16,0.2727082972238867
GLOBAL,gmm_aic_best_label,S1,35.180186850036094,9,527,1.1102230246251565e-16,0.37531240428877727
GLOBAL,gmm_aic_best_label,S2,72.26751530793646,9,527,1.1102230246251565e-16,0.5524065046855868
GLOBAL,gmm_aic_best_label,S3,46.81546205730448,9,527,1.1102230246251565e-16,0.444291638420989
GLOBAL,gmm_aic_best_label,S4,17.682043320730642,9,527,1.1102230246251565e-16,0.2319333712152189
GLOBAL,gmm_aic_best_label,S5,21.224212049308854,9,527,1.1102230246251565e-16,0.2660350197361912
GLOBAL,gmm_aicc_best_label,S1,97.29254363069798,4,532,1.1102230246251565e-16,0.4224737027817903
GLOBAL,gmm_aicc_best_label,S2,215.8697148270539,4,532,1.1102230246251565e-16,0.6187688574058873
GLOBAL,gmm_aicc_best_label,S3,116.62499302140158,4,532,1.1102230246251565e-16,0.467200786306693
GLOBAL,gmm_aicc_best_label,S4,33.37820110799444,4,532,1.1102230246251565e-16,0.200616432235188
GLOBAL,gmm_aicc_best_label,S5,49.87022867486528,4,532,1.1102230246251565e-16,0.2727082972238867
