IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
posy958,1,1,1,0,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are moderate on average (mean response time 15.66 seconds) and moderately variable in timing (response-time variance 187.59, coefficient of variation 0.87). They have a long longest correct streak (26 in a row) and a long longest incorrect streak (10 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
maxy370,0,0,0,0,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 16.77 seconds) and highly variable in timing (response-time variance 363.91, coefficient of variation 1.14). They have a long longest correct streak (19 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
zabe850,3,9,3,0,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 18.11 seconds) and moderately variable in timing (response-time variance 212.57, coefficient of variation 0.80). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
nawu690,1,1,1,0,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are moderate on average (mean response time 17.61 seconds) and moderately variable in timing (response-time variance 189.92, coefficient of variation 0.78). They have a long longest correct streak (21 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.66)."
hyge979,0,0,0,0,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are moderate on average (mean response time 17.84 seconds) and highly variable in timing (response-time variance 541.07, coefficient of variation 1.30). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.66)."
qapo730,0,1,0,1,"The student answered 57 items with low accuracy (56.14% proportion correct). Their responses are slow on average (mean response time 20.83 seconds) and moderately variable in timing (response-time variance 263.37, coefficient of variation 0.78). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41)."
guge611,1,1,1,1,"The student answered 57 items with low accuracy (56.14% proportion correct). Their responses are slow on average (mean response time 19.76 seconds) and moderately variable in timing (response-time variance 173.90, coefficient of variation 0.67). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.43)."
homa046,2,7,2,1,"The student answered 57 items with low accuracy (35.09% proportion correct). Their responses are slow on average (mean response time 33.09 seconds) and highly variable in timing (response-time variance 1410.61, coefficient of variation 1.13). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (10 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.20)."
zady580,2,4,2,1,"The student answered 57 items with low accuracy (59.65% proportion correct). Their responses are slow on average (mean response time 27.18 seconds) and highly variable in timing (response-time variance 706.06, coefficient of variation 0.98). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (14 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.48)."
muvo194,2,4,2,1,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are slow on average (mean response time 28.01 seconds) and highly variable in timing (response-time variance 658.17, coefficient of variation 0.92). They have a short longest correct streak (10 in a row) and a long longest incorrect streak (15 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38)."
puca767,0,0,0,2,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are slow on average (mean response time 20.40 seconds) and highly variable in timing (response-time variance 389.29, coefficient of variation 0.97). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
zywy107,0,0,0,2,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are slow on average (mean response time 20.81 seconds) and highly variable in timing (response-time variance 414.53, coefficient of variation 0.98). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.52)."
buvy316,0,0,0,2,"The student answered 57 items with medium accuracy (75.44% proportion correct). Their responses are slow on average (mean response time 20.62 seconds) and highly variable in timing (response-time variance 368.25, coefficient of variation 0.93). They have a short longest correct streak (10 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.57)."
vuzo690,4,6,4,2,"The student answered 57 items with medium accuracy (70.18% proportion correct). Their responses are slow on average (mean response time 22.27 seconds) and highly variable in timing (response-time variance 712.24, coefficient of variation 1.20). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
rozu771,4,7,4,2,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are slow on average (mean response time 22.38 seconds) and highly variable in timing (response-time variance 957.65, coefficient of variation 1.38). They have a moderate longest correct streak (14 in a row) and a long longest incorrect streak (12 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.57)."
peto053,3,9,3,3,"The student answered 57 items with high accuracy (85.96% proportion correct). Their responses are fast on average (mean response time 14.44 seconds) and moderately variable in timing (response-time variance 160.83, coefficient of variation 0.88). They have a long longest correct streak (28 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
sire515,3,2,3,3,"The student answered 57 items with high accuracy (89.47% proportion correct). Their responses are fast on average (mean response time 10.09 seconds) and moderately variable in timing (response-time variance 172.57, coefficient of variation 1.30). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.84)."
vyxi492,3,9,3,3,"The student answered 57 items with high accuracy (91.23% proportion correct). Their responses are fast on average (mean response time 13.57 seconds) and moderately variable in timing (response-time variance 212.71, coefficient of variation 1.07). They have a long longest correct streak (30 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.84)."
gahu141,3,9,3,3,"The student answered 57 items with high accuracy (85.96% proportion correct). Their responses are fast on average (mean response time 13.05 seconds) and stable in timing (response-time variance 146.80, coefficient of variation 0.93). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
vamu972,0,0,0,3,"The student answered 57 items with high accuracy (85.96% proportion correct). Their responses are fast on average (mean response time 14.44 seconds) and moderately variable in timing (response-time variance 328.79, coefficient of variation 1.26). They have a long longest correct streak (24 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
dosu709,0,4,0,4,"The student answered 57 items with medium accuracy (71.93% proportion correct). Their responses are slow on average (mean response time 23.54 seconds) and highly variable in timing (response-time variance 462.06, coefficient of variation 0.91). They have a long longest correct streak (18 in a row) and a long longest incorrect streak (10 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
feji918,0,6,0,4,"The student answered 57 items with medium accuracy (78.95% proportion correct). Their responses are slow on average (mean response time 22.46 seconds) and highly variable in timing (response-time variance 483.72, coefficient of variation 0.98). They have a long longest correct streak (34 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
kygi723,0,0,0,4,"The student answered 57 items with medium accuracy (75.44% proportion correct). Their responses are slow on average (mean response time 19.69 seconds) and highly variable in timing (response-time variance 330.34, coefficient of variation 0.92). They have a long longest correct streak (18 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.66)."
zucy684,4,6,4,4,"The student answered 57 items with medium accuracy (78.95% proportion correct). Their responses are slow on average (mean response time 27.90 seconds) and highly variable in timing (response-time variance 812.11, coefficient of variation 1.02). They have a long longest correct streak (21 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
rejy122,0,0,0,4,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are slow on average (mean response time 22.36 seconds) and highly variable in timing (response-time variance 413.10, coefficient of variation 0.91). They have a long longest correct streak (26 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
kyzy131,0,1,0,5,"The student answered 57 items with low accuracy (52.63% proportion correct). Their responses are moderate on average (mean response time 18.32 seconds) and moderately variable in timing (response-time variance 228.06, coefficient of variation 0.82). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (7 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34)."
karo919,2,4,2,5,"The student answered 57 items with low accuracy (43.86% proportion correct). Their responses are moderate on average (mean response time 16.25 seconds) and moderately variable in timing (response-time variance 255.81, coefficient of variation 0.98). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.30)."
xyfe491,1,8,1,5,"The student answered 57 items with low accuracy (42.11% proportion correct). Their responses are moderate on average (mean response time 15.06 seconds) and moderately variable in timing (response-time variance 157.49, coefficient of variation 0.83). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.21)."
nise834,2,8,2,5,"The student answered 57 items with low accuracy (26.32% proportion correct). Their responses are moderate on average (mean response time 15.34 seconds) and moderately variable in timing (response-time variance 170.05, coefficient of variation 0.85). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (21 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.18)."
cave700,0,4,0,5,"The student answered 57 items with low accuracy (52.63% proportion correct). Their responses are moderate on average (mean response time 15.13 seconds) and moderately variable in timing (response-time variance 230.01, coefficient of variation 1.00). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.41)."
weru214,3,3,3,6,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are fast on average (mean response time 14.31 seconds) and stable in timing (response-time variance 108.65, coefficient of variation 0.73). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
foji729,3,3,3,6,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are fast on average (mean response time 13.37 seconds) and stable in timing (response-time variance 107.37, coefficient of variation 0.77). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
qosy291,1,3,1,6,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are fast on average (mean response time 10.45 seconds) and stable in timing (response-time variance 66.76, coefficient of variation 0.78). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
taxa827,3,9,3,6,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are fast on average (mean response time 9.41 seconds) and stable in timing (response-time variance 85.05, coefficient of variation 0.98). They have a moderate longest correct streak (14 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
punu537,1,3,1,6,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are fast on average (mean response time 12.13 seconds) and stable in timing (response-time variance 95.69, coefficient of variation 0.81). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
ryzo168,3,9,3,7,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are moderate on average (mean response time 14.71 seconds) and moderately variable in timing (response-time variance 156.00, coefficient of variation 0.85). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
niri091,0,0,0,7,"The student answered 57 items with medium accuracy (70.18% proportion correct). Their responses are moderate on average (mean response time 19.03 seconds) and highly variable in timing (response-time variance 448.18, coefficient of variation 1.11). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
raja244,1,3,1,7,"The student answered 57 items with medium accuracy (66.67% proportion correct). Their responses are moderate on average (mean response time 15.63 seconds) and moderately variable in timing (response-time variance 166.05, coefficient of variation 0.82). They have a short longest correct streak (10 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
loby351,1,3,1,7,"The student answered 57 items with medium accuracy (71.93% proportion correct). Their responses are moderate on average (mean response time 16.74 seconds) and moderately variable in timing (response-time variance 159.30, coefficient of variation 0.75). They have a moderate longest correct streak (17 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
mecu237,0,0,0,7,"The student answered 57 items with medium accuracy (75.44% proportion correct). Their responses are moderate on average (mean response time 18.81 seconds) and highly variable in timing (response-time variance 479.87, coefficient of variation 1.16). They have a moderate longest correct streak (16 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
