K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-20857.46899063363,-21238.922821044922,-21203.083894870426,0.3308960795402527,241.00936412138472,1.4556182335296066
2,diag,-17870.184110305523,-18011.622047424316,-18007.16081481994,0.3803940713405609,287.3396250227007,1.0637060513831085
2,tied,-19134.470736397525,-19361.628635406494,-19349.777703729476,0.3308960795402527,241.00936412138472,1.4556182335296066
2,spherical,-16165.483732203476,-16246.917695999146,-16245.447676656786,0.3803940713405609,287.3396250227007,1.0637060513831085
3,full,-21981.540551295286,-22555.864295959473,-22465.864295959473,0.31148838996887207,247.46624022904925,1.2987173518382578
3,diag,-18464.66859350454,-18678.96849822998,-18668.474671069485,0.2498195916414261,212.7223398651939,1.2429733760922128
3,tied,-20742.382890937082,-21008.11477279663,-20991.633760138404,0.37159088253974915,259.69414852585976,1.1054429755592141
3,spherical,-16993.50286731674,-17117.796812057495,-17114.364859394773,0.3429938852787018,278.4124657183678,1.176737425714719
4,full,-23400.758901507717,-24167.952560424805,-23987.448358744132,0.37569671869277954,277.61032374966766,1.0859329695642215
4,diag,-19134.299973065856,-19421.46184539795,-19402.033273969377,0.32886555790901184,220.15016048204464,1.0895048932329916
4,tied,-20843.657540899003,-21147.96340560913,-21125.97630883494,0.4119208753108978,310.4062370303414,1.047823339516402
4,spherical,-17772.543572635688,-17939.697498321533,-17933.41983232556,0.3265761137008667,219.24613198617297,1.0910435236608553
5,full,-23991.60378522845,-24951.667358398438,-24628.590435321512,0.43374499678611755,323.81110602457403,0.978675193675208
5,diag,-19623.748006832495,-19983.77184677124,-19952.17892641726,0.3418211340904236,234.0281267812013,1.1189472255100097
5,tied,-21183.26404282015,-21526.14389038086,-21497.72283774928,0.4158293902873993,289.6882282779249,1.0057980400607929
5,spherical,-18489.16568931633,-18699.179595947266,-18689.117994304554,0.37440046668052673,250.7831078231841,1.1319634331462916
6,full,-24489.32010602194,-25642.253593444824,-25098.2086496246,0.43493640422821045,323.0353510989461,0.9655170505327552
