IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,10,10,10
pivi588,1,7,7,7
weda047,2,9,9,9
zoka501,3,14,14,14
hyku415,4,6,6,6
syvi476,5,10,10,10
kuqy630,6,6,6,6
node314,7,0,0,0
mybu425,8,8,8,8
pyqy867,9,8,8,8
tywo507,10,9,9,9
nuhi137,11,10,10,10
vuho146,12,0,0,0
nysa238,13,2,2,2
kisa730,14,6,6,6
doza768,15,0,0,0
sapu497,16,0,0,0
dila385,17,8,8,8
pymu787,18,5,5,5
bejy525,19,6,6,6
bajo794,20,8,8,8
dugu064,21,5,5,5
hiwu738,22,9,9,9
zucy684,23,13,13,13
huxe147,24,0,0,0
woza563,25,0,0,0
neku787,26,8,8,8
navo572,27,0,0,0
gola051,28,4,4,4
pyzo535,29,2,2,2
xoky149,30,6,6,6
loxu319,31,12,12,12
qisu640,32,5,5,5
gery678,33,10,10,10
huho039,34,13,13,13
wozo826,35,2,2,2
soru820,36,2,2,2
fari709,37,5,5,5
qapo730,38,2,2,2
najy705,39,5,5,5
sejy814,40,9,9,9
laze716,41,8,8,8
kojo378,42,10,10,10
tepu554,43,1,1,1
dyva324,44,5,5,5
pusu302,45,2,2,2
xamy888,46,14,14,14
ninu744,47,10,10,10
punu537,48,4,4,4
zufa556,49,5,5,5
losy787,50,2,2,2
fuxa711,51,5,5,5
myzo000,52,6,6,6
jygo886,53,2,2,2
dyzo734,54,10,10,10
ciky680,55,13,13,13
nopo152,56,10,10,10
tivy194,57,4,4,4
biry098,58,2,2,2
tebo981,59,9,9,9
jyma323,60,4,4,4
cani065,61,8,8,8
puxi257,62,10,10,10
jemy201,63,4,4,4
woqa919,64,6,6,6
huze427,65,10,10,10
jaxe723,66,1,1,1
xamy676,67,14,14,14
lowy720,68,6,6,6
mixa281,69,5,5,5
sipy389,70,2,2,2
bube109,71,8,8,8
boqe999,72,9,9,9
guzo911,73,6,6,6
guxe800,74,6,6,6
dove442,75,8,8,8
zivi062,76,4,4,4
lury747,77,5,5,5
tuve726,78,6,6,6
vihu826,79,13,13,13
hata313,80,14,14,14
hoki309,81,5,5,5
kyzy131,82,5,5,5
syti148,83,11,11,11
syco853,84,12,12,12
sefy975,85,5,5,5
jese656,86,11,11,11
guge611,87,2,2,2
mesi806,88,0,0,0
sesi698,89,11,11,11
gopa505,90,6,6,6
duwi894,91,8,8,8
hasa034,92,0,0,0
pile112,93,7,7,7
sivi804,94,0,0,0
maho931,95,10,10,10
waho571,96,0,0,0
mowy859,97,2,2,2
rihi168,98,2,2,2
siry766,99,6,6,6
qefe646,100,5,5,5
zojo883,101,7,7,7
dero258,102,9,9,9
mika525,103,14,14,14
xohi599,104,9,9,9
tebe135,105,0,0,0
naso669,106,10,10,10
qecu035,107,13,13,13
zywy107,108,6,6,6
cave700,109,5,5,5
nupy082,110,9,9,9
hoge626,111,3,3,3
nivo041,112,13,13,13
karo919,113,5,5,5
vuhe805,114,6,6,6
kebi083,115,4,4,4
faly535,116,2,2,2
gelo627,117,10,10,10
vili771,118,11,11,11
katu927,119,8,8,8
xiza150,120,10,10,10
bevi590,121,9,9,9
huve181,122,5,5,5
fite050,123,9,9,9
nysu060,124,9,9,9
kaho190,125,6,6,6
lany944,126,3,3,3
maqu534,127,6,6,6
wuga870,128,6,6,6
