IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
dahi696,1,6,1,0,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 9.65 seconds) and stable in timing (response-time variance 83.24, coefficient of variation 0.95). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
juqo313,3,6,1,0,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 11.37 seconds) and stable in timing (response-time variance 78.18, coefficient of variation 0.78). They have a long longest correct streak (29 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
kyqu130,3,6,1,0,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 12.29 seconds) and stable in timing (response-time variance 116.73, coefficient of variation 0.88). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
sina926,3,9,1,0,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are fast on average (mean response time 11.84 seconds) and stable in timing (response-time variance 98.48, coefficient of variation 0.84). They have a long longest correct streak (24 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
cyga680,1,6,1,0,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 12.35 seconds) and stable in timing (response-time variance 110.76, coefficient of variation 0.85). They have a long longest correct streak (25 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
gata076,2,1,0,1,"The student answered 57 items with low accuracy (35.09% proportion correct). Their responses are slow on average (mean response time 22.70 seconds) and highly variable in timing (response-time variance 395.81, coefficient of variation 0.88). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (17 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23)."
muqo157,4,3,3,1,"The student answered 57 items with low accuracy (56.14% proportion correct). Their responses are slow on average (mean response time 21.71 seconds) and highly variable in timing (response-time variance 492.31, coefficient of variation 1.02). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38)."
pipo687,2,1,0,1,"The student answered 57 items with low accuracy (35.09% proportion correct). Their responses are slow on average (mean response time 23.50 seconds) and highly variable in timing (response-time variance 861.98, coefficient of variation 1.25). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (22 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23)."
pusu302,2,1,0,1,"The student answered 57 items with low accuracy (24.56% proportion correct). Their responses are slow on average (mean response time 22.39 seconds) and highly variable in timing (response-time variance 851.71, coefficient of variation 1.30). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (26 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.14)."
muvo194,4,3,0,1,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are slow on average (mean response time 28.01 seconds) and highly variable in timing (response-time variance 658.17, coefficient of variation 0.92). They have a short longest correct streak (10 in a row) and a long longest incorrect streak (15 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38)."
rejy122,3,6,1,2,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are slow on average (mean response time 22.36 seconds) and highly variable in timing (response-time variance 413.10, coefficient of variation 0.91). They have a long longest correct streak (26 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
dusi300,3,6,1,2,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are slow on average (mean response time 20.82 seconds) and highly variable in timing (response-time variance 421.74, coefficient of variation 0.99). They have a moderate longest correct streak (13 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
feji918,3,0,1,2,"The student answered 57 items with medium accuracy (78.95% proportion correct). Their responses are slow on average (mean response time 22.46 seconds) and highly variable in timing (response-time variance 483.72, coefficient of variation 0.98). They have a long longest correct streak (34 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
nivo041,5,0,2,2,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are slow on average (mean response time 24.15 seconds) and highly variable in timing (response-time variance 736.91, coefficient of variation 1.12). They have a moderate longest correct streak (12 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
mefy253,3,6,1,2,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are slow on average (mean response time 22.31 seconds) and highly variable in timing (response-time variance 488.10, coefficient of variation 0.99). They have a moderate longest correct streak (17 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
cuba307,0,0,3,3,"The student answered 57 items with medium accuracy (71.93% proportion correct). Their responses are moderate on average (mean response time 15.89 seconds) and moderately variable in timing (response-time variance 234.44, coefficient of variation 0.96). They have a long longest correct streak (22 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59)."
cobi870,0,5,3,3,"The student answered 57 items with medium accuracy (64.91% proportion correct). Their responses are moderate on average (mean response time 17.71 seconds) and moderately variable in timing (response-time variance 253.97, coefficient of variation 0.90). They have a long longest correct streak (24 in a row) and a long longest incorrect streak (13 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.59)."
cumo221,3,6,1,3,"The student answered 57 items with medium accuracy (78.95% proportion correct). Their responses are moderate on average (mean response time 19.28 seconds) and moderately variable in timing (response-time variance 231.72, coefficient of variation 0.79). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61)."
gycy436,0,9,3,3,"The student answered 57 items with medium accuracy (73.68% proportion correct). Their responses are moderate on average (mean response time 15.37 seconds) and moderately variable in timing (response-time variance 176.25, coefficient of variation 0.86). They have a long longest correct streak (22 in a row) and a long longest incorrect streak (7 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.61)."
xise560,0,5,3,3,"The student answered 57 items with medium accuracy (68.42% proportion correct). Their responses are moderate on average (mean response time 17.73 seconds) and moderately variable in timing (response-time variance 166.52, coefficient of variation 0.73). They have a short longest correct streak (11 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
keno764,4,4,3,4,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are moderate on average (mean response time 15.68 seconds) and stable in timing (response-time variance 31.89, coefficient of variation 0.36). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (8 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34)."
lore323,2,1,0,4,"The student answered 57 items with low accuracy (35.09% proportion correct). Their responses are moderate on average (mean response time 17.14 seconds) and stable in timing (response-time variance 116.46, coefficient of variation 0.63). They have a short longest correct streak (5 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.18)."
baky109,4,4,0,4,"The student answered 57 items with low accuracy (45.61% proportion correct). Their responses are moderate on average (mean response time 14.96 seconds) and stable in timing (response-time variance 135.93, coefficient of variation 0.78). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (13 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.32)."
puce552,4,4,3,4,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are moderate on average (mean response time 18.97 seconds) and stable in timing (response-time variance 48.45, coefficient of variation 0.37). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.32)."
fari709,2,1,0,4,"The student answered 57 items with low accuracy (28.07% proportion correct). Their responses are moderate on average (mean response time 17.35 seconds) and stable in timing (response-time variance 136.60, coefficient of variation 0.67). They have a short longest correct streak (4 in a row) and a long longest incorrect streak (23 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.12)."
zyvo780,3,6,1,5,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 16.27 seconds) and stable in timing (response-time variance 128.56, coefficient of variation 0.70). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
guva627,1,6,1,5,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are moderate on average (mean response time 17.13 seconds) and stable in timing (response-time variance 148.57, coefficient of variation 0.71). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
lazi600,3,6,1,5,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 17.74 seconds) and stable in timing (response-time variance 144.86, coefficient of variation 0.68). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
luli756,3,9,1,5,"The student answered 57 items with medium accuracy (75.44% proportion correct). Their responses are moderate on average (mean response time 17.65 seconds) and stable in timing (response-time variance 147.63, coefficient of variation 0.69). They have a long longest correct streak (22 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.66)."
sila763,1,6,1,5,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 16.14 seconds) and stable in timing (response-time variance 135.01, coefficient of variation 0.72). They have a long longest correct streak (30 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
hazu473,0,0,3,6,"The student answered 57 items with medium accuracy (70.18% proportion correct). Their responses are slow on average (mean response time 19.48 seconds) and moderately variable in timing (response-time variance 255.84, coefficient of variation 0.82). They have a moderate longest correct streak (13 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.55)."
pala257,3,0,1,6,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are slow on average (mean response time 19.94 seconds) and moderately variable in timing (response-time variance 290.50, coefficient of variation 0.85). They have a long longest correct streak (31 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
vepi727,0,0,3,6,"The student answered 57 items with medium accuracy (70.18% proportion correct). Their responses are slow on average (mean response time 25.04 seconds) and moderately variable in timing (response-time variance 233.71, coefficient of variation 0.61). They have a moderate longest correct streak (15 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.54)."
xafy802,3,0,1,6,"The student answered 57 items with medium accuracy (75.44% proportion correct). Their responses are slow on average (mean response time 21.63 seconds) and moderately variable in timing (response-time variance 266.57, coefficient of variation 0.75). They have a moderate longest correct streak (15 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.62)."
kyjo289,3,9,1,6,"The student answered 57 items with medium accuracy (77.19% proportion correct). Their responses are slow on average (mean response time 21.41 seconds) and moderately variable in timing (response-time variance 208.23, coefficient of variation 0.67). They have a long longest correct streak (20 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are occasional (consecutive-correct rate 0.64)."
zabe850,3,6,1,7,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 18.11 seconds) and moderately variable in timing (response-time variance 212.57, coefficient of variation 0.80). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.70)."
sazy810,3,6,1,7,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are moderate on average (mean response time 15.72 seconds) and moderately variable in timing (response-time variance 192.67, coefficient of variation 0.88). They have a long longest correct streak (18 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
peqa279,1,6,1,7,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are moderate on average (mean response time 19.13 seconds) and moderately variable in timing (response-time variance 268.81, coefficient of variation 0.86). They have a long longest correct streak (38 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
sesi698,3,6,1,7,"The student answered 57 items with medium accuracy (80.70% proportion correct). Their responses are moderate on average (mean response time 15.21 seconds) and moderately variable in timing (response-time variance 185.60, coefficient of variation 0.90). They have a long longest correct streak (21 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.68)."
heda014,1,6,1,7,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are moderate on average (mean response time 16.48 seconds) and moderately variable in timing (response-time variance 313.63, coefficient of variation 1.07). They have a long longest correct streak (27 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.77)."
hoge626,1,2,1,8,"The student answered 57 items with high accuracy (89.47% proportion correct). Their responses are fast on average (mean response time 13.26 seconds) and moderately variable in timing (response-time variance 178.72, coefficient of variation 1.01). They have a long longest correct streak (25 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.84)."
myve834,1,2,1,8,"The student answered 57 items with high accuracy (94.74% proportion correct). Their responses are fast on average (mean response time 13.43 seconds) and moderately variable in timing (response-time variance 193.94, coefficient of variation 1.04). They have a long longest correct streak (38 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.89)."
peto053,1,2,1,8,"The student answered 57 items with high accuracy (85.96% proportion correct). Their responses are fast on average (mean response time 14.44 seconds) and moderately variable in timing (response-time variance 160.83, coefficient of variation 0.88). They have a long longest correct streak (28 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
nehe056,1,2,1,8,"The student answered 57 items with high accuracy (92.98% proportion correct). Their responses are fast on average (mean response time 13.47 seconds) and moderately variable in timing (response-time variance 216.75, coefficient of variation 1.09). They have a long longest correct streak (39 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.86)."
mida684,1,2,1,8,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are fast on average (mean response time 12.13 seconds) and moderately variable in timing (response-time variance 299.93, coefficient of variation 1.43). They have a long longest correct streak (28 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
weda047,1,6,1,9,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 12.28 seconds) and moderately variable in timing (response-time variance 193.99, coefficient of variation 1.13). They have a long longest correct streak (26 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
ryhy064,1,6,1,9,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 14.44 seconds) and moderately variable in timing (response-time variance 247.23, coefficient of variation 1.09). They have a long longest correct streak (35 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.77)."
sejy814,3,6,1,9,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 13.52 seconds) and moderately variable in timing (response-time variance 173.68, coefficient of variation 0.97). They have a moderate longest correct streak (15 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
pody147,1,6,1,9,"The student answered 57 items with medium accuracy (82.46% proportion correct). Their responses are fast on average (mean response time 14.17 seconds) and moderately variable in timing (response-time variance 208.81, coefficient of variation 1.02). They have a long longest correct streak (33 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.73)."
tebo981,1,6,1,9,"The student answered 57 items with medium accuracy (84.21% proportion correct). Their responses are fast on average (mean response time 14.34 seconds) and moderately variable in timing (response-time variance 174.30, coefficient of variation 0.92). They have a long longest correct streak (31 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.71)."
cyfe247,4,4,0,10,"The student answered 57 items with low accuracy (45.61% proportion correct). Their responses are fast on average (mean response time 14.01 seconds) and stable in timing (response-time variance 147.59, coefficient of variation 0.87). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23)."
syvi476,2,4,0,10,"The student answered 57 items with low accuracy (38.60% proportion correct). Their responses are fast on average (mean response time 10.26 seconds) and stable in timing (response-time variance 73.11, coefficient of variation 0.83). They have a short longest correct streak (7 in a row) and a long longest incorrect streak (11 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.23)."
ninu744,2,4,0,10,"The student answered 57 items with low accuracy (38.60% proportion correct). Their responses are fast on average (mean response time 13.39 seconds) and stable in timing (response-time variance 68.46, coefficient of variation 0.62). They have a short longest correct streak (8 in a row) and a long longest incorrect streak (13 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.25)."
gery678,2,1,0,10,"The student answered 57 items with low accuracy (35.09% proportion correct). Their responses are fast on average (mean response time 14.39 seconds) and stable in timing (response-time variance 54.11, coefficient of variation 0.51). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (26 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.25)."
tapi010,2,1,0,10,"The student answered 57 items with low accuracy (38.60% proportion correct). Their responses are fast on average (mean response time 13.44 seconds) and stable in timing (response-time variance 153.70, coefficient of variation 0.92). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (26 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.25)."
posy537,1,2,1,11,"The student answered 57 items with high accuracy (85.96% proportion correct). Their responses are fast on average (mean response time 11.43 seconds) and stable in timing (response-time variance 113.63, coefficient of variation 0.93). They have a long longest correct streak (23 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.75)."
tufa140,1,2,1,11,"The student answered 57 items with high accuracy (92.98% proportion correct). Their responses are fast on average (mean response time 11.78 seconds) and stable in timing (response-time variance 85.73, coefficient of variation 0.79). They have a long longest correct streak (19 in a row) and a short longest incorrect streak (1 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.88)."
fili803,1,2,1,11,"The student answered 57 items with high accuracy (85.96% proportion correct). Their responses are fast on average (mean response time 14.29 seconds) and stable in timing (response-time variance 111.58, coefficient of variation 0.74). They have a long longest correct streak (34 in a row) and a short longest incorrect streak (3 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.80)."
cidy099,1,2,1,11,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are fast on average (mean response time 13.11 seconds) and stable in timing (response-time variance 119.81, coefficient of variation 0.84). They have a long longest correct streak (24 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
joti731,1,2,1,11,"The student answered 57 items with high accuracy (87.72% proportion correct). Their responses are fast on average (mean response time 12.34 seconds) and stable in timing (response-time variance 114.39, coefficient of variation 0.87). They have a long longest correct streak (24 in a row) and a short longest incorrect streak (2 in a row). Consecutive correct answers are frequent (consecutive-correct rate 0.79)."
hoki309,4,3,3,12,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are moderate on average (mean response time 18.29 seconds) and highly variable in timing (response-time variance 356.28, coefficient of variation 1.03). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.38)."
doxi119,4,4,0,12,"The student answered 57 items with low accuracy (42.11% proportion correct). Their responses are moderate on average (mean response time 15.23 seconds) and highly variable in timing (response-time variance 410.26, coefficient of variation 1.33). They have a short longest correct streak (5 in a row) and a long longest incorrect streak (9 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.21)."
qisu640,4,8,0,12,"The student answered 57 items with low accuracy (52.63% proportion correct). Their responses are moderate on average (mean response time 14.70 seconds) and highly variable in timing (response-time variance 484.54, coefficient of variation 1.50). They have a moderate longest correct streak (12 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.34)."
pymu787,5,8,2,12,"The student answered 57 items with low accuracy (57.89% proportion correct). Their responses are moderate on average (mean response time 19.42 seconds) and highly variable in timing (response-time variance 720.56, coefficient of variation 1.38). They have a moderate longest correct streak (17 in a row) and a long longest incorrect streak (16 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.48)."
zejy480,4,3,3,12,"The student answered 57 items with low accuracy (54.39% proportion correct). Their responses are moderate on average (mean response time 16.57 seconds) and highly variable in timing (response-time variance 384.37, coefficient of variation 1.18). They have a short longest correct streak (6 in a row) and a long longest incorrect streak (6 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.39)."
vuho146,4,5,3,13,"The student answered 57 items with medium accuracy (61.40% proportion correct). Their responses are slow on average (mean response time 19.52 seconds) and highly variable in timing (response-time variance 338.27, coefficient of variation 0.94). They have a short longest correct streak (9 in a row) and a long longest incorrect streak (5 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.46)."
sulo956,0,5,3,13,"The student answered 57 items with medium accuracy (64.91% proportion correct). Their responses are slow on average (mean response time 20.42 seconds) and highly variable in timing (response-time variance 428.06, coefficient of variation 1.01). They have a short longest correct streak (11 in a row) and a moderate longest incorrect streak (4 in a row). Consecutive correct answers are rare (consecutive-correct rate 0.48)."
