gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,4,0,1,12,1,4,0,13,4,2,4,0,1,3,0
1,0,0,1,7,4,0,4,0,0,0,0,2,4,0,4
2,1,1,0,9,2,2,1,0,1,0,3,2,8,0,2
3,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0
4,8,2,0,0,0,0,0,0,21,7,3,0,1,0,0
5,1,0,0,6,0,9,0,0,0,0,7,7,10,1,2
6,5,3,0,0,0,0,0,0,4,0,0,0,0,0,0
7,9,1,0,12,7,0,0,0,5,0,1,0,13,0,0
8,0,28,0,1,3,0,2,0,0,0,0,0,0,0,0
9,15,0,0,0,0,0,0,0,8,7,0,0,0,0,0
10,0,0,15,6,0,14,0,4,0,0,3,6,7,13,6
11,0,2,2,2,16,0,11,4,1,0,0,0,1,0,1
12,0,0,14,0,0,5,5,0,0,0,2,0,0,18,0
13,0,1,0,0,6,0,13,0,0,0,0,0,0,0,0
14,13,6,0,0,0,0,0,0,14,0,0,0,0,0,0
