IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,2,1,1
pivi588,1,4,5,5
weda047,2,3,6,6
zoka501,3,4,5,5
hyku415,4,0,3,3
syvi476,5,9,1,1
kuqy630,6,0,3,3
node314,7,0,3,3
mybu425,8,6,2,2
pyqy867,9,6,2,2
tywo507,10,1,6,6
nuhi137,11,9,1,1
vuho146,12,0,3,3
nysa238,13,2,1,1
kisa730,14,0,3,3
doza768,15,0,3,3
sapu497,16,0,3,3
dila385,17,6,2,2
pymu787,18,5,4,4
bejy525,19,0,3,3
bajo794,20,6,2,2
dugu064,21,5,4,4
hiwu738,22,3,6,6
zucy684,23,0,3,3
huxe147,24,0,3,3
woza563,25,0,3,3
neku787,26,6,2,2
navo572,27,0,3,3
gola051,28,1,0,0
pyzo535,29,2,1,1
xoky149,30,0,3,3
loxu319,31,8,3,3
qisu640,32,5,4,4
gery678,33,9,1,1
huho039,34,0,3,3
wozo826,35,2,1,1
soru820,36,2,1,1
fari709,37,5,4,4
qapo730,38,2,1,1
najy705,39,5,4,4
sejy814,40,3,6,6
laze716,41,6,2,2
kojo378,42,9,1,1
tepu554,43,4,5,5
dyva324,44,5,4,4
pusu302,45,2,1,1
xamy888,46,4,5,5
ninu744,47,9,1,1
punu537,48,1,0,0
zufa556,49,5,4,4
losy787,50,2,1,1
fuxa711,51,5,4,4
myzo000,52,0,3,3
jygo886,53,2,1,1
dyzo734,54,2,1,1
ciky680,55,0,3,3
nopo152,56,9,1,1
tivy194,57,1,0,0
biry098,58,2,1,1
tebo981,59,3,6,6
jyma323,60,3,0,0
cani065,61,6,2,2
puxi257,62,2,1,1
jemy201,63,1,0,0
woqa919,64,0,3,3
huze427,65,9,1,1
jaxe723,66,4,5,5
xamy676,67,6,2,2
lowy720,68,0,3,3
mixa281,69,5,4,4
sipy389,70,9,1,1
bube109,71,6,2,2
boqe999,72,1,6,6
guzo911,73,0,3,3
guxe800,74,0,3,3
dove442,75,6,2,2
zivi062,76,1,0,0
lury747,77,5,4,4
tuve726,78,0,3,3
vihu826,79,0,3,3
hata313,80,6,2,2
hoki309,81,5,4,4
kyzy131,82,5,4,4
syti148,83,6,2,2
syco853,84,8,3,3
sefy975,85,5,4,4
jese656,86,6,2,2
guge611,87,2,1,1
