IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
jefi901,1,6,1,0,Accuracy medium (84.21%); speed fast (11.87s); timing stable (var=142.90); correct streak moderate (16); incorrect streak short (2); consecutive correct frequent (0.75).
juqo313,3,6,1,0,Accuracy medium (82.46%); speed fast (11.37s); timing stable (var=78.18); correct streak long (29); incorrect streak moderate (4); consecutive correct frequent (0.75).
nysu060,3,9,1,0,Accuracy medium (78.95%); speed fast (12.78s); timing stable (var=83.09); correct streak long (18); incorrect streak moderate (4); consecutive correct frequent (0.68).
tosa657,1,6,1,0,Accuracy medium (84.21%); speed fast (11.91s); timing stable (var=122.20); correct streak moderate (15); incorrect streak short (2); consecutive correct frequent (0.73).
zyvo780,3,6,1,0,Accuracy medium (82.46%); speed moderate (16.27s); timing stable (var=128.56); correct streak long (21); incorrect streak short (3); consecutive correct frequent (0.71).
puca767,3,0,3,1,Accuracy medium (73.68%); speed slow (20.40s); timing highly variable (var=389.29); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.55).
lusi512,0,5,3,1,Accuracy medium (68.42%); speed slow (23.41s); timing highly variable (var=346.85); correct streak moderate (12); incorrect streak long (8); consecutive correct occasional (0.57).
rozu771,5,8,2,1,Accuracy medium (66.67%); speed slow (22.38s); timing highly variable (var=957.65); correct streak moderate (14); incorrect streak long (12); consecutive correct occasional (0.57).
cylu852,3,0,2,1,Accuracy medium (78.95%); speed slow (21.43s); timing highly variable (var=493.31); correct streak moderate (16); incorrect streak short (2); consecutive correct occasional (0.64).
buvy316,3,0,3,1,Accuracy medium (75.44%); speed slow (20.62s); timing highly variable (var=368.25); correct streak short (10); incorrect streak moderate (4); consecutive correct occasional (0.57).
gery678,2,1,0,2,Accuracy low (35.09%); speed fast (14.39s); timing stable (var=54.11); correct streak short (6); incorrect streak long (26); consecutive correct rare (0.25).
baky109,4,4,0,2,Accuracy low (45.61%); speed moderate (14.96s); timing stable (var=135.93); correct streak short (7); incorrect streak long (13); consecutive correct rare (0.32).
bacy598,2,1,0,2,Accuracy low (24.56%); speed fast (7.37s); timing stable (var=108.91); correct streak short (6); incorrect streak long (13); consecutive correct rare (0.12).
ninu744,2,4,0,2,Accuracy low (38.60%); speed fast (13.39s); timing stable (var=68.46); correct streak short (8); incorrect streak long (13); consecutive correct rare (0.25).
syvi476,2,4,0,2,Accuracy low (38.60%); speed fast (10.26s); timing stable (var=73.11); correct streak short (7); incorrect streak long (11); consecutive correct rare (0.23).
jise415,1,2,1,3,Accuracy high (87.72%); speed fast (11.45s); timing stable (var=133.69); correct streak long (26); incorrect streak short (2); consecutive correct frequent (0.79).
qoha890,1,2,1,3,Accuracy high (94.74%); speed fast (13.18s); timing stable (var=117.09); correct streak long (30); incorrect streak short (2); consecutive correct frequent (0.93).
muta539,1,2,1,3,Accuracy high (98.25%); speed fast (13.25s); timing stable (var=107.27); correct streak long (47); incorrect streak short (1); consecutive correct frequent (0.96).
posy537,1,2,1,3,Accuracy high (85.96%); speed fast (11.43s); timing stable (var=113.63); correct streak long (23); incorrect streak short (2); consecutive correct frequent (0.75).
tufa140,1,2,1,3,Accuracy high (92.98%); speed fast (11.78s); timing stable (var=85.73); correct streak long (19); incorrect streak short (1); consecutive correct frequent (0.88).
