gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,13,0,1,5,0,9,0,0,3,0,8,0,3,5,2
1,0,4,0,0,5,7,0,1,1,0,1,3,0,0,4
2,0,11,0,0,0,1,4,3,0,8,0,4,0,1,0
3,0,0,4,0,2,0,0,0,0,0,0,4,0,0,0
4,0,12,0,0,2,9,5,1,5,3,0,0,0,5,0
5,1,2,0,2,0,6,4,0,14,4,0,0,0,10,0
6,0,4,0,0,0,0,0,2,0,3,0,3,0,0,0
7,0,3,0,0,7,14,0,1,9,3,0,1,1,1,8
8,0,0,1,0,11,1,0,0,0,0,0,21,0,0,0
9,0,8,0,0,0,0,7,6,0,9,0,0,0,0,0
10,13,0,0,11,0,10,0,0,10,0,17,0,4,6,3
11,1,0,22,0,7,2,0,0,0,0,4,0,3,0,1
12,13,0,5,7,0,0,0,0,0,0,14,0,5,0,0
13,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0
14,0,14,0,0,0,0,0,9,0,4,0,6,0,0,0
