IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,1,5,5
pivi588,1,7,3,3
weda047,2,4,4,4
zoka501,3,0,0,0
hyku415,4,2,4,4
syvi476,5,5,1,1
kuqy630,6,2,4,4
node314,7,0,0,0
mybu425,8,2,4,4
pyqy867,9,2,4,4
tywo507,10,3,2,2
nuhi137,11,5,1,1
vuho146,12,0,0,0
nysa238,13,1,5,5
kisa730,14,2,4,4
doza768,15,0,0,0
sapu497,16,0,0,0
dila385,17,2,4,4
pymu787,18,1,5,5
bejy525,19,2,4,4
bajo794,20,2,4,4
dugu064,21,1,5,5
hiwu738,22,4,4,4
zucy684,23,4,4,4
huxe147,24,0,0,0
woza563,25,0,0,0
neku787,26,2,4,4
navo572,27,0,0,0
gola051,28,3,2,2
pyzo535,29,1,5,5
xoky149,30,2,4,4
loxu319,31,7,3,3
qisu640,32,1,5,5
gery678,33,5,1,1
huho039,34,4,4,4
wozo826,35,1,5,5
soru820,36,1,5,5
fari709,37,5,1,1
qapo730,38,1,5,5
najy705,39,5,1,1
sejy814,40,4,4,4
laze716,41,2,4,4
kojo378,42,5,1,1
tepu554,43,3,2,2
dyva324,44,1,5,5
pusu302,45,1,5,5
xamy888,46,0,0,0
ninu744,47,5,1,1
punu537,48,3,2,2
zufa556,49,5,1,1
losy787,50,1,5,5
fuxa711,51,1,5,5
myzo000,52,2,4,4
jygo886,53,1,5,5
dyzo734,54,1,5,5
ciky680,55,4,4,4
nopo152,56,5,1,1
tivy194,57,0,0,0
biry098,58,1,5,5
tebo981,59,4,4,4
jyma323,60,2,4,4
cani065,61,2,4,4
puxi257,62,1,5,5
jemy201,63,3,2,2
woqa919,64,2,4,4
huze427,65,5,1,1
jaxe723,66,3,2,2
xamy676,67,0,0,0
lowy720,68,2,4,4
mixa281,69,1,5,5
sipy389,70,5,1,1
bube109,71,2,4,4
boqe999,72,3,2,2
guzo911,73,2,4,4
guxe800,74,2,4,4
dove442,75,2,4,4
zivi062,76,0,0,0
lury747,77,1,5,5
tuve726,78,2,4,4
vihu826,79,4,4,4
hata313,80,0,0,0
hoki309,81,1,5,5
kyzy131,82,1,5,5
syti148,83,4,4,4
syco853,84,7,3,3
sefy975,85,5,1,1
jese656,86,4,4,4
guge611,87,1,5,5
mesi806,88,0,0,0
sesi698,89,4,4,4
gopa505,90,2,4,4
duwi894,91,2,4,4
hasa034,92,0,0,0
pile112,93,7,3,3
sivi804,94,0,0,0
maho931,95,1,5,5
waho571,96,0,0,0
mowy859,97,1,5,5
rihi168,98,1,5,5
siry766,99,2,4,4
qefe646,100,1,5,5
zojo883,101,7,3,3
dero258,102,3,2,2
mika525,103,0,0,0
xohi599,104,3,2,2
tebe135,105,0,0,0
naso669,106,5,1,1
qecu035,107,4,4,4
zywy107,108,2,4,4
cave700,109,1,5,5
nupy082,110,4,4,4
hoge626,111,7,3,3
nivo041,112,4,4,4
karo919,113,1,5,5
vuhe805,114,2,4,4
kebi083,115,3,2,2
faly535,116,1,5,5
gelo627,117,1,5,5
vili771,118,4,4,4
katu927,119,2,4,4
xiza150,120,5,1,1
bevi590,121,3,2,2
huve181,122,1,5,5
fite050,123,3,2,2
nysu060,124,3,2,2
kaho190,125,2,4,4
lany944,126,6,3,3
maqu534,127,2,4,4
wuga870,128,2,4,4
wyva352,129,2,4,4
hime464,130,3,2,2
jexu775,131,2,4,4
tuga736,132,0,0,0
hyfe498,133,5,1,1
bomo360,134,4,4,4
lomo204,135,7,3,3
mipe544,136,3,2,2
hufy497,137,3,2,2
rapo919,138,2,4,4
gata076,139,1,5,5
muvo194,140,1,5,5
cywo537,141,2,4,4
xamy327,142,2,4,4
cogu074,143,4,4,4
rapo615,144,1,5,5
zady580,145,1,5,5
nujo284,146,2,4,4
syzu625,147,2,4,4
myte214,148,2,4,4
tyzo440,149,1,5,5
vyzo298,150,3,2,2
hiwu589,151,0,0,0
sazy810,152,4,4,4
turi097,153,2,4,4
foji729,154,3,2,2
dexe201,155,4,4,4
dosu709,156,4,4,4
doxe392,157,1,5,5
culu497,158,2,4,4
lije367,159,7,3,3
vice024,160,3,2,2
kapy740,161,4,4,4
vudi262,162,0,0,0
tuza510,163,0,0,0
tubo945,164,4,4,4
