IDCode,gmm_bic_best_label,gmm_aic_best_label,gmm_aicc_best_label,narrative_best_label,narrative_text
sina926,3,9,1,0,Accuracy medium (77.19%); speed fast (11.84s); timing stable (var=98.48); correct streak long (24); incorrect streak moderate (4); consecutive correct frequent (0.68).
juqo313,3,6,1,0,Accuracy medium (82.46%); speed fast (11.37s); timing stable (var=78.18); correct streak long (29); incorrect streak moderate (4); consecutive correct frequent (0.75).
cyga680,1,6,1,0,Accuracy medium (84.21%); speed fast (12.35s); timing stable (var=110.76); correct streak long (25); incorrect streak moderate (4); consecutive correct frequent (0.75).
boqe999,1,6,1,0,Accuracy medium (84.21%); speed fast (13.78s); timing stable (var=65.66); correct streak long (36); incorrect streak short (2); consecutive correct frequent (0.75).
cija437,3,6,1,0,Accuracy medium (82.46%); speed fast (12.24s); timing stable (var=61.91); correct streak moderate (14); incorrect streak short (3); consecutive correct frequent (0.73).
dusi300,3,6,1,1,Accuracy medium (82.46%); speed slow (20.82s); timing highly variable (var=421.74); correct streak moderate (13); incorrect streak short (3); consecutive correct frequent (0.73).
qecu035,5,7,2,1,Accuracy medium (82.46%); speed slow (24.61s); timing highly variable (var=1389.76); correct streak moderate (17); incorrect streak short (3); consecutive correct frequent (0.75).
vihu826,5,7,2,1,Accuracy medium (78.95%); speed slow (32.40s); timing highly variable (var=1505.21); correct streak moderate (15); incorrect streak short (3); consecutive correct frequent (0.66).
howe436,3,6,1,1,Accuracy medium (82.46%); speed slow (22.34s); timing highly variable (var=390.52); correct streak moderate (13); incorrect streak short (2); consecutive correct frequent (0.70).
rejy122,3,6,1,1,Accuracy medium (80.70%); speed slow (22.36s); timing highly variable (var=413.10); correct streak long (26); incorrect streak moderate (4); consecutive correct frequent (0.71).
pubu440,2,1,0,2,Accuracy low (36.84%); speed fast (9.18s); timing stable (var=69.92); correct streak short (7); incorrect streak long (13); consecutive correct rare (0.23).
ninu744,2,4,0,2,Accuracy low (38.60%); speed fast (13.39s); timing stable (var=68.46); correct streak short (8); incorrect streak long (13); consecutive correct rare (0.25).
qafe413,4,4,3,2,Accuracy low (59.65%); speed fast (13.75s); timing stable (var=82.51); correct streak short (8); incorrect streak long (5); consecutive correct rare (0.41).
syvi476,2,4,0,2,Accuracy low (38.60%); speed fast (10.26s); timing stable (var=73.11); correct streak short (7); incorrect streak long (11); consecutive correct rare (0.23).
gery678,2,1,0,2,Accuracy low (35.09%); speed fast (14.39s); timing stable (var=54.11); correct streak short (6); incorrect streak long (26); consecutive correct rare (0.25).
vury347,3,0,1,3,Accuracy medium (73.68%); speed moderate (16.67s); timing moderately variable (var=252.63); correct streak long (28); incorrect streak short (3); consecutive correct occasional (0.59).
cobi870,0,5,3,3,Accuracy medium (64.91%); speed moderate (17.71s); timing moderately variable (var=253.97); correct streak long (24); incorrect streak long (13); consecutive correct occasional (0.59).
cuba307,0,0,3,3,Accuracy medium (71.93%); speed moderate (15.89s); timing moderately variable (var=234.44); correct streak long (22); incorrect streak long (5); consecutive correct occasional (0.59).
gycy436,0,9,3,3,Accuracy medium (73.68%); speed moderate (15.37s); timing moderately variable (var=176.25); correct streak long (22); incorrect streak long (7); consecutive correct occasional (0.61).
xise560,0,5,3,3,Accuracy medium (68.42%); speed moderate (17.73s); timing moderately variable (var=166.52); correct streak short (11); incorrect streak long (5); consecutive correct occasional (0.54).
cave700,4,4,3,4,Accuracy low (52.63%); speed moderate (15.13s); timing moderately variable (var=230.01); correct streak short (9); incorrect streak long (9); consecutive correct rare (0.41).
kyzy131,4,4,3,4,Accuracy low (52.63%); speed moderate (18.32s); timing moderately variable (var=228.06); correct streak short (8); incorrect streak long (7); consecutive correct rare (0.34).
xime971,4,4,0,4,Accuracy low (49.12%); speed moderate (14.67s); timing moderately variable (var=172.65); correct streak short (8); incorrect streak long (17); consecutive correct rare (0.34).
xyfe491,4,4,0,4,Accuracy low (42.11%); speed moderate (15.06s); timing moderately variable (var=157.49); correct streak short (6); incorrect streak long (8); consecutive correct rare (0.21).
nise834,2,1,0,4,Accuracy low (26.32%); speed moderate (15.34s); timing moderately variable (var=170.05); correct streak short (8); incorrect streak long (21); consecutive correct rare (0.18).
myve834,1,2,1,5,Accuracy high (94.74%); speed fast (13.43s); timing moderately variable (var=193.94); correct streak long (38); incorrect streak short (1); consecutive correct frequent (0.89).
nehe056,1,2,1,5,Accuracy high (92.98%); speed fast (13.47s); timing moderately variable (var=216.75); correct streak long (39); incorrect streak short (1); consecutive correct frequent (0.86).
pufe463,1,2,1,5,Accuracy high (89.47%); speed fast (10.58s); timing moderately variable (var=193.90); correct streak long (18); incorrect streak short (2); consecutive correct frequent (0.84).
peto053,1,2,1,5,Accuracy high (85.96%); speed fast (14.44s); timing moderately variable (var=160.83); correct streak long (28); incorrect streak short (1); consecutive correct frequent (0.73).
mida684,1,2,1,5,Accuracy high (87.72%); speed fast (12.13s); timing moderately variable (var=299.93); correct streak long (28); incorrect streak short (2); consecutive correct frequent (0.80).
tyzo440,4,3,3,6,Accuracy low (57.89%); speed slow (24.26s); timing highly variable (var=449.15); correct streak short (11); incorrect streak long (8); consecutive correct rare (0.41).
johy783,4,3,0,6,Accuracy low (49.12%); speed slow (21.40s); timing highly variable (var=473.97); correct streak short (8); incorrect streak long (6); consecutive correct rare (0.30).
fafe171,4,3,0,6,Accuracy low (45.61%); speed slow (22.21s); timing highly variable (var=433.71); correct streak short (6); incorrect streak long (15); consecutive correct rare (0.25).
vexo008,4,3,3,6,Accuracy low (54.39%); speed slow (20.65s); timing highly variable (var=398.18); correct streak short (8); incorrect streak long (6); consecutive correct rare (0.36).
pusu302,2,1,0,6,Accuracy low (24.56%); speed slow (22.39s); timing highly variable (var=851.71); correct streak short (4); incorrect streak long (26); consecutive correct rare (0.14).
foji729,3,9,3,7,Accuracy medium (73.68%); speed fast (13.37s); timing stable (var=107.37); correct streak moderate (14); incorrect streak short (2); consecutive correct occasional (0.55).
weru214,3,9,1,7,Accuracy medium (77.19%); speed fast (14.31s); timing stable (var=108.65); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.62).
xori482,0,0,3,7,Accuracy medium (71.93%); speed fast (9.78s); timing stable (var=117.53); correct streak moderate (14); incorrect streak long (6); consecutive correct occasional (0.62).
kebi083,3,9,3,7,Accuracy medium (75.44%); speed fast (10.98s); timing stable (var=68.70); correct streak moderate (17); incorrect streak long (5); consecutive correct occasional (0.59).
kewi488,0,9,3,7,Accuracy medium (70.18%); speed fast (11.94s); timing stable (var=116.18); correct streak short (11); incorrect streak moderate (4); consecutive correct occasional (0.55).
doza768,4,3,2,8,Accuracy medium (61.40%); speed slow (33.16s); timing highly variable (var=786.72); correct streak short (6); incorrect streak moderate (4); consecutive correct rare (0.39).
nolu547,5,7,2,8,Accuracy medium (61.40%); speed slow (25.11s); timing highly variable (var=1420.61); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.38).
sapu497,0,5,3,8,Accuracy medium (63.16%); speed slow (19.54s); timing moderately variable (var=279.99); correct streak moderate (12); incorrect streak long (6); consecutive correct rare (0.50).
navo572,0,5,3,8,Accuracy medium (64.91%); speed slow (19.71s); timing moderately variable (var=165.48); correct streak moderate (13); incorrect streak long (5); consecutive correct rare (0.50).
hoxo855,0,5,3,8,Accuracy medium (64.91%); speed slow (24.59s); timing highly variable (var=489.61); correct streak short (10); incorrect streak moderate (4); consecutive correct rare (0.50).
risy585,0,5,3,9,Accuracy medium (63.16%); speed moderate (14.81s); timing stable (var=80.42); correct streak moderate (14); incorrect streak short (3); consecutive correct rare (0.46).
xamy888,0,5,3,9,Accuracy medium (64.91%); speed moderate (15.67s); timing stable (var=109.51); correct streak short (8); incorrect streak moderate (4); consecutive correct rare (0.43).
mika525,4,5,3,9,Accuracy medium (61.40%); speed moderate (15.39s); timing stable (var=94.55); correct streak short (11); incorrect streak moderate (4); consecutive correct rare (0.46).
jicu869,0,5,3,9,Accuracy medium (64.91%); speed moderate (16.28s); timing stable (var=145.59); correct streak moderate (14); incorrect streak long (7); consecutive correct rare (0.50).
riby296,0,5,3,9,Accuracy medium (66.67%); speed moderate (17.60s); timing stable (var=125.85); correct streak short (8); incorrect streak long (5); consecutive correct rare (0.48).
xaja332,3,0,3,10,Accuracy medium (73.68%); speed moderate (17.46s); timing moderately variable (var=230.37); correct streak moderate (17); incorrect streak long (5); consecutive correct occasional (0.62).
loby351,0,9,3,10,Accuracy medium (71.93%); speed moderate (16.74s); timing moderately variable (var=159.30); correct streak moderate (17); incorrect streak long (5); consecutive correct occasional (0.62).
katu927,3,9,1,10,Accuracy medium (75.44%); speed moderate (17.32s); timing moderately variable (var=188.16); correct streak moderate (13); incorrect streak short (3); consecutive correct occasional (0.61).
vyxy108,0,5,3,10,Accuracy medium (66.67%); speed moderate (18.58s); timing moderately variable (var=252.22); correct streak moderate (15); incorrect streak long (7); consecutive correct occasional (0.55).
tiro932,3,0,1,10,Accuracy medium (75.44%); speed moderate (16.57s); timing moderately variable (var=232.26); correct streak moderate (15); incorrect streak short (2); consecutive correct occasional (0.59).
zafy372,1,2,1,11,Accuracy high (89.47%); speed moderate (15.62s); timing stable (var=78.11); correct streak long (18); incorrect streak short (2); consecutive correct frequent (0.82).
voza333,1,2,1,11,Accuracy high (89.47%); speed moderate (15.23s); timing stable (var=94.27); correct streak long (22); incorrect streak short (2); consecutive correct frequent (0.84).
