gmm_aic_best_label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0,9,0,4,0,0,0,2,0,0,15,0,0,24,9,0,0,0,0,1,0,3,0,0,0,0,6,0,1
1,0,0,15,0,2,0,14,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0
2,0,1,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,20,0,0,0,2,0,0,13,0,0,22,0
3,0,0,0,0,4,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
4,0,0,18,0,13,0,11,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,1,3,0,0,0,0,0
5,0,0,0,4,0,0,0,4,12,6,3,0,0,9,2,0,1,0,12,0,2,0,9,0,0,3,5,0,4
6,22,12,0,3,0,0,0,0,0,0,1,0,14,0,0,0,8,0,0,1,2,23,0,0,0,0,1,0,0
7,0,7,0,0,0,0,1,0,2,0,0,0,0,6,4,0,0,0,0,0,0,1,0,0,3,0,0,0,2
8,0,0,0,4,2,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1
9,4,0,0,1,0,0,0,15,0,0,6,0,1,2,0,0,6,0,0,0,7,3,0,0,0,8,2,0,0
