narrative_best_label,S1,S2,S3,S4,S5,Missing_total
0,10.080645161290322,27.177419354838708,4.048387096774194,4.870967741935484,3.5806451612903225,1.8769100170483872
1,6.409090909090909,16.227272727272727,2.0454545454545454,4.136363636363637,1.9545454545454546,18.118421052954545
2,13.375,31.979166666666668,4.875,6.645833333333333,5.166666666666667,0.0
3,11.463414634146341,29.804878048780488,4.585365853658536,5.609756097560975,4.341463414634147,1.7792041078048781
4,8.3,23.75,3.95,4.55,3.0,1.4763157896499999
5,6.352941176470588,15.470588235294118,1.8431372549019607,3.450980392156863,2.1372549019607843,17.47058823547059
6,9.0,28.5,5.0,4.5,4.0,2.605263158
7,9.977272727272727,27.318181818181817,4.0,4.909090909090909,3.7954545454545454,2.250000000159091
8,11.69047619047619,29.642857142857142,4.666666666666667,5.9523809523809526,4.5,0.9511278194761904
9,9.830188679245284,26.50943396226415,4.245283018867925,5.283018867924528,3.3773584905660377,1.4746772590566037
10,6.970588235294118,17.352941176470587,2.676470588235294,3.823529411764706,2.088235294117647,7.815789473323529
11,13.64,32.32,4.96,6.76,4.96,0.0
12,8.1875,24.25,4.25,4.0,3.125,1.8453947369375001
13,10.823529411764707,30.029411764705884,4.529411764705882,5.882352941176471,3.676470588235294,0.153250774
14,8.80952380952381,22.857142857142858,3.9523809523809526,4.761904761904762,3.238095238095238,0.3308270676666667
