K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-15220.036255190518,-15601.490085601807,-15565.65115942731,0.30012786388397217,240.77823888048573,1.4179137833178679
2,diag,-13859.308650634503,-14000.746587753296,-13996.285355148922,0.2895684540271759,224.85060497802473,1.4291678041923048
2,tied,-14590.21086586835,-14817.36876487732,-14805.517833200302,0.19988080859184265,113.03486661014746,1.9804073237286028
2,spherical,-12456.549911478989,-12537.983875274658,-12536.513855932299,0.30162593722343445,247.18812368168435,1.418289502232623
3,full,-16374.132569422727,-16948.456314086914,-16858.456314086914,0.2378896027803421,174.73563504653214,1.7941644108496642
3,diag,-14301.901517012227,-14516.20142173767,-14505.707594577178,0.20006133615970612,158.1867852516302,1.805816961771101
3,tied,-15790.727039572945,-16056.458921432495,-16039.977908774266,0.2378896027803421,174.73563504653217,1.7941644108496642
3,spherical,-13211.600721930996,-13335.894666671753,-13332.46271400903,0.3172456920146942,210.98414573000062,1.0949977607635135
4,full,-16982.236001880032,-17749.42966079712,-17568.925459116446,0.2915516793727875,185.97996285909068,1.3314396367552468
4,diag,-14558.556822354796,-14845.71869468689,-14826.290123258319,0.2632843852043152,182.86891236409014,1.5390619007055575
4,tied,-16134.322980504714,-16438.628845214844,-16416.64174844065,0.27390629053115845,164.92861711482638,1.3904186703786134
4,spherical,-13767.309661121406,-13934.463586807251,-13928.185920811275,0.28291675448417664,150.69459242408294,0.947367561611401
5,full,-17636.748030376155,-18596.811603546143,-18273.734680469217,0.32055795192718506,183.45552220940394,1.2727738051545816
5,diag,-14997.703100216284,-15357.72694015503,-15326.134019801048,0.2682760953903198,166.28264767989896,1.3851336322622994
5,tied,-17412.401223148518,-17755.28107070923,-17726.86001807765,0.31854048371315,187.03261567737133,1.3639066912858027
5,spherical,-14066.591390457688,-14276.605297088623,-14266.543695445913,0.2153058648109436,140.30200812230132,1.3376769276023919
6,full,-17986.69634961325,-19139.629837036133,-18595.58489321591,0.3413216769695282,190.96720731459394,1.1913075353061016
6,diag,-15386.556840388565,-15819.44264793396,-15772.07713069258,0.3344549834728241,200.9166591686114,1.145713108659208
6,tied,-17407.699165651942,-17789.152996063232,-17753.314069888736,0.3284440338611603,180.10456479537493,1.2599845032285117
6,spherical,-14341.189810238919,-14594.063697814941,-14579.220930519345,0.30570465326309204,167.34412170885665,1.2070404845345721
7,full,-18112.887840542233,-19458.691242218018,-18567.610161136934,0.36389631032943726,196.4828713812519,1.1001520878844535
7,diag,-15783.179488107842,-16288.927263259888,-16221.740660389074,0.3227814733982086,183.7921415051936,1.0622807959829117
7,tied,-17470.042216950533,-17890.070030212402,-17845.76866034939,0.3522324562072754,191.36858704222573,1.1485757377841164
7,spherical,-14755.283394891363,-15051.017263412476,-15030.332038573075,0.32546713948249817,182.99459956336364,1.1153858846139832
8,full,-18230.391675068633,-19769.064990997314,-18308.726007946472,0.36287134885787964,183.15703280088735,1.0717694952619254
8,diag,-16000.114525200897,-16578.724267959595,-16487.153195640392,0.3250175416469574,171.36531304064027,1.103052290833673
8,tied,-17631.100070037453,-18089.701866149902,-18035.827740275778,0.3747173845767975,195.06625328902132,1.0756703498369136
8,spherical,-15030.482022955064,-15369.075872421265,-15341.417229095225,0.30765002965927124,179.61732331323637,1.0826740753744308
9,full,-18239.050912732237,-19970.59414291382,-17491.503233822907,0.33697420358657837,183.87749822291838,1.123909644653006
9,diag,-16157.707809287973,-16809.17951965332,-16688.05451965332,0.3121899366378784,175.60657138720592,1.0382552118947481
9,tied,-17860.858213804306,-18358.033992767334,-18293.40542133876,0.38857418298721313,187.36922146023477,1.055850673901931
9,spherical,-15298.551897356656,-15680.005727767944,-15644.166801593448,0.3046390116214752,167.02895146092732,1.066537567186171
10,full,-18280.152125035733,-20204.565269470215,-15559.737683263289,0.35700753331184387,185.8975178073751,1.0946696370727682
10,diag,-16257.43630341228,-16981.769981384277,-16825.20322389109,0.31667277216911316,170.53495309636742,1.1329371785221567
10,tied,-18777.63770080236,-19313.387462615967,-19236.745126849542,0.39282944798469543,182.97470549771256,1.037574741202161
10,spherical,-15510.549412673163,-15934.863224029541,-15889.554299544416,0.32564273476600647,166.8083748551825,1.0476562508941825
11,full,-18204.927646116088,-20322.210704803467,-8677.92499051779,0.3694952428340912,185.21746716969744,1.0829951648178904
11,diag,-16444.242113820765,-17241.437759399414,-17042.683473685127,0.33709272742271423,172.51713308948212,1.07286330307722
11,tied,-18776.485680689817,-19350.809425354004,-19260.809425354004,0.3775428831577301,187.2356763252932,1.0654018635083053
11,spherical,-15727.997966350267,-16195.171758651733,-16139.012508066253,0.3409276008605957,174.46544001396833,1.0677642153019813
12,full,-18157.3844454252,-20467.53741836548,inf,0.37319251894950867,185.16879168806707,1.0852140061599913
12,diag,-16553.530922123537,-17423.588535308838,-17174.867814588117,0.3300687372684479,163.19356162059032,1.1139737384248438
12,tied,-19117.4216541991,-19730.319381713867,-19625.525488584095,0.3809944689273834,183.9468708550723,0.9970409919291879
12,spherical,-15911.311466392728,-16421.345239639282,-16352.85603100619,0.3296333849430084,156.13965095410805,1.062839434407674
13,full,-18106.881173170594,-20609.90406036377,inf,0.3601711690425873,174.04302183722123,1.2197615275089897
13,diag,-16677.67334904814,-17620.592929840088,-17312.871410852746,0.3059951066970825,141.38476386754843,1.0822181956003527
13,tied,-19132.29294188685,-19783.764652252197,-19662.639652252197,0.3738784193992615,184.18529839072312,1.0226560876880921
13,spherical,-16057.2952888534,-16610.189043045044,-16527.781180637183,0.3361603319644928,157.44374262789677,0.9950902664387054
14,full,-17965.215890723113,-20661.10869216919,inf,0.3306613564491272,168.09345385538938,1.2642016866616148
14,diag,-16710.203097444904,-17725.984645843506,-17348.68698698063,0.3150452673435211,149.612769184977,1.1402107577799225
14,tied,-19155.485205831923,-19845.53089904785,-19706.426899047852,0.36107319593429565,180.649941051247,1.090175201953405
14,spherical,-16153.951413560168,-16749.7051486969,-16651.669884213272,0.343296080827713,174.04111690580677,1.057773772339751
15,full,-17974.282778380613,-20863.04549407959,inf,0.35590100288391113,178.27905944349078,1.1042664733046192
15,diag,-16798.310494004512,-17886.954010009766,-17427.592307882103,0.3209676742553711,148.57136508084895,1.062468491688738
15,tied,-19198.91862349404,-19927.538299560547,-19768.685840544153,0.3634592294692993,177.86684147971533,1.0812046559386082
15,spherical,-16348.024620099819,-16986.63833618164,-16871.13446021265,0.3426285684108734,165.89036340290141,1.0492818158577157
