IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,4,4,4
pivi588,1,0,0,0
weda047,2,5,5,5
zoka501,3,6,6,6
hyku415,4,1,1,1
syvi476,5,2,2,2
kuqy630,6,1,1,1
node314,7,9,9,9
mybu425,8,1,1,1
pyqy867,9,1,1,1
tywo507,10,3,3,3
nuhi137,11,2,2,2
vuho146,12,9,9,9
nysa238,13,4,4,4
kisa730,14,1,1,1
doza768,15,9,9,9
sapu497,16,9,9,9
dila385,17,1,1,1
pymu787,18,4,4,4
bejy525,19,1,1,1
bajo794,20,1,1,1
dugu064,21,4,4,4
hiwu738,22,5,5,5
zucy684,23,5,5,5
huxe147,24,9,9,9
woza563,25,9,9,9
neku787,26,1,1,1
navo572,27,9,9,9
gola051,28,7,7,7
pyzo535,29,4,4,4
xoky149,30,1,1,1
loxu319,31,0,0,0
qisu640,32,4,4,4
gery678,33,2,2,2
huho039,34,5,5,5
wozo826,35,4,4,4
soru820,36,4,4,4
fari709,37,2,2,2
qapo730,38,4,4,4
najy705,39,2,2,2
sejy814,40,5,5,5
laze716,41,1,1,1
kojo378,42,2,2,2
tepu554,43,3,3,3
dyva324,44,4,4,4
pusu302,45,4,4,4
xamy888,46,6,6,6
ninu744,47,2,2,2
punu537,48,7,7,7
zufa556,49,2,2,2
losy787,50,4,4,4
fuxa711,51,4,4,4
myzo000,52,1,1,1
jygo886,53,4,4,4
dyzo734,54,4,4,4
ciky680,55,5,5,5
nopo152,56,2,2,2
tivy194,57,6,6,6
biry098,58,4,4,4
tebo981,59,5,5,5
jyma323,60,1,1,1
cani065,61,1,1,1
puxi257,62,4,4,4
jemy201,63,7,7,7
woqa919,64,1,1,1
huze427,65,2,2,2
jaxe723,66,3,3,3
xamy676,67,9,9,9
lowy720,68,1,1,1
mixa281,69,4,4,4
sipy389,70,2,2,2
bube109,71,1,1,1
boqe999,72,3,3,3
guzo911,73,1,1,1
guxe800,74,1,1,1
dove442,75,1,1,1
zivi062,76,6,6,6
lury747,77,4,4,4
tuve726,78,1,1,1
vihu826,79,5,5,5
hata313,80,9,9,9
hoki309,81,4,4,4
kyzy131,82,4,4,4
syti148,83,5,5,5
syco853,84,0,0,0
sefy975,85,2,2,2
jese656,86,5,5,5
guge611,87,4,4,4
mesi806,88,9,9,9
sesi698,89,5,5,5
gopa505,90,1,1,1
duwi894,91,1,1,1
hasa034,92,9,9,9
pile112,93,0,0,0
sivi804,94,9,9,9
maho931,95,4,4,4
waho571,96,6,6,6
mowy859,97,4,4,4
rihi168,98,4,4,4
siry766,99,1,1,1
qefe646,100,4,4,4
zojo883,101,0,0,0
dero258,102,3,3,3
mika525,103,6,6,6
xohi599,104,3,3,3
tebe135,105,9,9,9
naso669,106,2,2,2
qecu035,107,5,5,5
zywy107,108,1,1,1
cave700,109,4,4,4
