IDCode,narrative_text
paxi044,Accuracy low (15.79%); speed fast (13.81s); timing highly variable (var=517.59); correct streak short (3); incorrect streak long (28); consecutive correct rare (0.05).
pivi588,Accuracy high (91.23%); speed moderate (17.59s); timing highly variable (var=476.24); correct streak long (23); incorrect streak short (2); consecutive correct frequent (0.86).
weda047,Accuracy medium (84.21%); speed fast (12.28s); timing moderately variable (var=193.99); correct streak long (26); incorrect streak short (2); consecutive correct frequent (0.73).
zoka501,Accuracy medium (66.67%); speed moderate (15.80s); timing stable (var=109.20); correct streak moderate (15); incorrect streak moderate (4); consecutive correct rare (0.50).
hyku415,Accuracy medium (73.68%); speed slow (29.43s); timing highly variable (var=1214.94); correct streak long (25); incorrect streak short (3); consecutive correct occasional (0.61).
syvi476,Accuracy low (38.60%); speed fast (10.26s); timing stable (var=73.11); correct streak short (7); incorrect streak long (11); consecutive correct rare (0.23).
kuqy630,Accuracy medium (78.95%); speed slow (25.61s); timing highly variable (var=638.33); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.64).
node314,Accuracy medium (63.16%); speed slow (27.08s); timing highly variable (var=636.90); correct streak moderate (14); incorrect streak moderate (4); consecutive correct rare (0.46).
mybu425,Accuracy medium (68.42%); speed moderate (16.76s); timing highly variable (var=505.04); correct streak moderate (13); incorrect streak long (6); consecutive correct occasional (0.55).
pyqy867,Accuracy medium (78.95%); speed moderate (17.57s); timing moderately variable (var=215.20); correct streak moderate (12); incorrect streak short (3); consecutive correct occasional (0.62).
tywo507,Accuracy medium (82.46%); speed fast (12.15s); timing stable (var=139.36); correct streak moderate (17); incorrect streak short (2); consecutive correct frequent (0.71).
nuhi137,Accuracy low (52.63%); speed fast (13.85s); timing stable (var=95.40); correct streak short (9); incorrect streak long (6); consecutive correct rare (0.36).
vuho146,Accuracy medium (61.40%); speed slow (19.52s); timing highly variable (var=338.27); correct streak short (9); incorrect streak long (5); consecutive correct rare (0.46).
nysa238,Accuracy low (52.63%); speed slow (25.55s); timing highly variable (var=579.71); correct streak moderate (13); incorrect streak long (9); consecutive correct rare (0.41).
kisa730,Accuracy medium (73.68%); speed slow (33.55s); timing highly variable (var=1450.05); correct streak moderate (15); incorrect streak moderate (4); consecutive correct occasional (0.55).
doza768,Accuracy medium (61.40%); speed slow (33.16s); timing highly variable (var=786.72); correct streak short (6); incorrect streak moderate (4); consecutive correct rare (0.39).
sapu497,Accuracy medium (63.16%); speed slow (19.54s); timing moderately variable (var=279.99); correct streak moderate (12); incorrect streak long (6); consecutive correct rare (0.50).
dila385,Accuracy medium (71.93%); speed moderate (17.15s); timing moderately variable (var=305.09); correct streak moderate (13); incorrect streak moderate (4); consecutive correct occasional (0.61).
pymu787,Accuracy low (57.89%); speed moderate (19.42s); timing highly variable (var=720.56); correct streak moderate (17); incorrect streak long (16); consecutive correct rare (0.48).
bejy525,Accuracy medium (70.18%); speed slow (22.32s); timing highly variable (var=496.16); correct streak long (18); incorrect streak long (5); consecutive correct occasional (0.59).
bajo794,Accuracy medium (75.44%); speed moderate (18.01s); timing moderately variable (var=199.35); correct streak moderate (17); incorrect streak moderate (4); consecutive correct occasional (0.61).
dugu064,Accuracy low (49.12%); speed moderate (19.18s); timing highly variable (var=461.81); correct streak moderate (15); incorrect streak long (9); consecutive correct rare (0.38).
hiwu738,Accuracy medium (82.46%); speed fast (14.47s); timing moderately variable (var=231.12); correct streak moderate (15); incorrect streak short (2); consecutive correct frequent (0.71).
zucy684,Accuracy medium (78.95%); speed slow (27.90s); timing highly variable (var=812.11); correct streak long (21); incorrect streak moderate (4); consecutive correct frequent (0.70).
huxe147,Accuracy medium (63.16%); speed slow (19.58s); timing moderately variable (var=186.33); correct streak short (11); incorrect streak long (6); consecutive correct rare (0.45).
