IDCode,index
paxi044,0
pivi588,1
weda047,2
zoka501,3
hyku415,4
syvi476,5
kuqy630,6
node314,7
mybu425,8
pyqy867,9
tywo507,10
nuhi137,11
vuho146,12
nysa238,13
kisa730,14
doza768,15
sapu497,16
dila385,17
pymu787,18
bejy525,19
bajo794,20
dugu064,21
hiwu738,22
zucy684,23
huxe147,24
woza563,25
neku787,26
navo572,27
gola051,28
pyzo535,29
xoky149,30
loxu319,31
qisu640,32
gery678,33
huho039,34
wozo826,35
soru820,36
fari709,37
qapo730,38
najy705,39
sejy814,40
laze716,41
kojo378,42
tepu554,43
dyva324,44
pusu302,45
xamy888,46
ninu744,47
punu537,48
zufa556,49
losy787,50
fuxa711,51
myzo000,52
jygo886,53
dyzo734,54
ciky680,55
nopo152,56
tivy194,57
biry098,58
tebo981,59
jyma323,60
cani065,61
puxi257,62
jemy201,63
woqa919,64
huze427,65
jaxe723,66
xamy676,67
lowy720,68
mixa281,69
sipy389,70
bube109,71
boqe999,72
guzo911,73
guxe800,74
dove442,75
zivi062,76
lury747,77
tuve726,78
vihu826,79
hata313,80
hoki309,81
kyzy131,82
syti148,83
syco853,84
sefy975,85
jese656,86
guge611,87
mesi806,88
sesi698,89
gopa505,90
duwi894,91
hasa034,92
pile112,93
sivi804,94
maho931,95
waho571,96
mowy859,97
rihi168,98
siry766,99
qefe646,100
zojo883,101
dero258,102
mika525,103
xohi599,104
tebe135,105
naso669,106
qecu035,107
zywy107,108
cave700,109
nupy082,110
hoge626,111
nivo041,112
karo919,113
vuhe805,114
kebi083,115
faly535,116
gelo627,117
vili771,118
katu927,119
xiza150,120
bevi590,121
huve181,122
fite050,123
nysu060,124
kaho190,125
lany944,126
maqu534,127
wuga870,128
wyva352,129
hime464,130
jexu775,131
tuga736,132
hyfe498,133
bomo360,134
lomo204,135
mipe544,136
hufy497,137
rapo919,138
gata076,139
muvo194,140
cywo537,141
xamy327,142
cogu074,143
rapo615,144
zady580,145
nujo284,146
syzu625,147
myte214,148
tyzo440,149
vyzo298,150
hiwu589,151
sazy810,152
