K,covariance_type,bic,aic,aicc,silhouette,calinski_harabasz,davies_bouldin
2,full,-23193.60663254037,-23575.06046295166,-23539.221536777164,0.2830231785774231,119.14892103528751,1.6453367457615826
2,diag,-23446.092424056744,-23587.530361175537,-23583.069128571162,0.35204634070396423,63.646356018884816,2.172550371742747
2,tied,-23264.54899491193,-23491.7068939209,-23479.85596224388,0.413066565990448,100.79560804934708,0.9996446159285817
2,spherical,-22873.88572309398,-22955.31968688965,-22953.84966754729,0.3219890296459198,145.12810546100832,1.3977242175349052
3,full,-23088.377884974485,-23662.701629638672,-23572.701629638672,0.11702146381139755,87.40962440981268,2.172844181871383
3,diag,-23381.65063772451,-23595.95054244995,-23585.456715289456,0.1171027272939682,81.01012152293903,2.174409401312726
3,tied,-23248.225839850656,-23513.957721710205,-23497.476709051978,0.10757642239332199,78.21493790430696,2.1914410438504146
3,spherical,-23012.103710746305,-23136.39765548706,-23132.96570282434,0.1450549066066742,117.06089589379219,1.9177860842505108
4,full,-22935.04438963638,-23702.238048553467,-23521.733846872794,0.08114634454250336,66.45232393071458,2.339338968350654
4,diag,-23326.890026624205,-23614.0518989563,-23594.623327527726,0.08989524096250534,71.6967096313271,2.2573258193871784
4,tied,-23274.959947210038,-23579.265811920166,-23557.278715145974,0.11036593466997147,60.35163767402044,1.9726792236371924
4,spherical,-23062.189408512153,-23229.343334197998,-23223.065668202024,0.12137868255376816,100.33529915501724,1.9502787504378745
5,full,-22771.177546214778,-23731.241119384766,-23408.16419630784,0.06287853419780731,53.78843045638688,3.52080624489027
5,diag,-23279.58387948264,-23639.607719421387,-23608.014799067405,0.09020420908927917,65.12134458041578,2.2450629578744654
5,tied,-23271.652913059406,-23614.532760620117,-23586.111707988537,0.0797186940908432,53.59087067649546,2.359047142561665
5,spherical,-23121.04060539299,-23331.054512023926,-23320.992910381214,0.11252360790967941,90.36271646166668,1.898799218252772
6,full,-22597.42262982565,-23750.356117248535,-23206.311173428312,0.06033889204263687,49.45951819634039,2.392209742577672
6,diag,-23210.909907786638,-23643.79571533203,-23596.430198090653,0.09800778329372406,64.81188310768074,2.030861128549579
6,tied,-23271.48416931405,-23652.93799972534,-23617.099073550846,0.08904396742582321,57.63855435264572,2.1183334506697453
6,spherical,-23134.759417019923,-23387.633304595947,-23372.79053730035,0.10777553915977478,80.91786113594246,1.7751302910516664
7,full,-22419.78582027856,-23765.589221954346,-22874.508140873262,0.019458696246147156,38.037506111790016,2.587873358621476
7,diag,-23166.563832208794,-23672.31160736084,-23605.125004490026,0.09638890624046326,60.4535178817143,1.7402900103721433
7,tied,-23275.098991089937,-23695.126804351807,-23650.825434488794,0.08465827256441116,52.09891013723087,1.8176741205293818
7,spherical,-23134.251448709114,-23429.985317230225,-23409.300092390826,0.10825767368078232,75.88835926592346,1.9744316505737518
8,full,-22244.54164989163,-23783.214965820312,-22322.87598276947,0.04633353278040886,39.49127317604977,2.609777805002687
8,diag,-23095.16946256357,-23673.779205322266,-23582.208133003063,0.06311757862567902,49.77968134105077,1.86862597704407
8,tied,-23244.104533233254,-23702.706329345703,-23648.83220347158,0.08046280592679977,48.20040516138097,1.9392290614411485
8,spherical,-23132.08215303624,-23470.67600250244,-23443.017359176403,0.11844155937433243,69.67255117458761,1.6432180218111831
9,full,-22000.906511181944,-23732.449741363525,-21253.358832272614,0.03022960014641285,41.8786694814596,2.510978508212084
9,diag,-23019.22334273524,-23670.695053100586,-23549.570053100586,0.05008251219987869,46.900385281759405,2.1028917948143473
9,tied,-23222.875238798202,-23720.05101776123,-23655.422446332657,0.07423912733793259,42.17183166637751,2.0079552988483416
9,spherical,-23139.546917269374,-23521.000747680664,-23485.161821506168,0.10262200981378555,64.46080202667409,1.8261799246047918
10,full,-21804.593596135586,-23729.00674057007,-19084.17915436314,0.062095750123262405,44.05202515004145,2.0959052975086556
10,diag,-22959.802411352954,-23684.13608932495,-23527.569331831764,0.049113139510154724,44.06422822480828,2.1211030575798384
10,tied,-23167.065343624625,-23702.815105438232,-23626.172769671808,0.05557316169142723,45.69308303545859,1.851024881935104
10,spherical,-23078.772301619698,-23503.086112976074,-23457.77718849095,0.10743273049592972,63.48563782513812,1.8110596880367282
11,full,-21601.338340238402,-23718.62139892578,-12074.335684640104,0.026232179254293442,35.89438507827618,2.4059793438271027
11,diag,-22909.527998677942,-23706.72364425659,-23507.969358542305,0.051873523741960526,48.014275457954135,1.9551163187489486
11,tied,-23136.45395385266,-23710.777698516846,-23620.777698516846,0.07896285504102707,43.24434129200925,1.890005438314352
11,spherical,-23053.713151515673,-23520.88694381714,-23464.72769323166,0.1042589321732521,60.13376357402919,1.8192509650874733
12,full,-21409.112167593168,-23719.265140533447,inf,0.010635369457304478,33.012860550920664,2.54363111191932
12,diag,-22817.855602451906,-23687.913215637207,-23439.192494916486,0.04377561807632446,43.30326884650806,2.254795149399007
12,tied,-23087.330337975956,-23700.228065490723,-23595.43417236095,0.07543467730283737,43.003233021117204,1.7178785074950567
12,spherical,-23057.01537912771,-23567.049152374268,-23498.559943741173,0.0954992026090622,56.69682234319521,1.69600330473713
13,full,-21247.461792982605,-23750.48468017578,inf,0.021128486841917038,36.62232325413666,2.6441584343745337
13,diag,-22744.57047429228,-23687.49005508423,-23379.768536096886,0.03941347077488899,42.345720248338004,2.0658238380961973
13,tied,-23073.66202910609,-23725.133739471436,-23604.008739471436,0.06325933337211609,38.628722975750414,1.8168839177364264
13,spherical,-23051.830702595467,-23604.72445678711,-23522.31659437925,0.09995410591363907,55.33439560546784,1.6965945743230348
14,full,-21062.66550238693,-23758.558303833008,inf,0.004494477994740009,28.511861658498578,2.6301377942937285
14,diag,-22680.3396826805,-23696.1212310791,-23318.823572216224,0.07494392991065979,46.19136627711381,1.8477940509994415
14,tied,-23059.262408438124,-23749.308101654053,-23610.204101654053,0.06649447977542877,35.95587154166361,1.8351191494251482
14,spherical,-23005.37914602782,-23601.13288116455,-23503.097616680923,0.09962828457355499,52.058076411936625,1.698581766837968
15,full,-20842.327868102293,-23731.09058380127,inf,0.023628193885087967,31.00188498550739,2.579185839296188
15,diag,-22616.098648606563,-23704.742164611816,-23245.380462484154,0.0631859302520752,41.088331571370134,2.0395510442221356
15,tied,-22980.439749287496,-23709.059425354004,-23550.20696633761,0.08391600847244263,41.95095471175241,1.7855801141675838
15,spherical,-22983.042442365444,-23621.656158447266,-23506.152282478273,0.08262428641319275,51.13418388884646,1.724070028347109
16,full,-20664.053977408967,-23745.68660736084,inf,0.03539547696709633,34.52890071221922,2.272284574532513
16,diag,-22562.917425171057,-23724.42290878296,-23168.105927650886,0.031805139034986496,37.78374233603684,1.8759556938777657
16,tied,-22966.98653212295,-23734.18019104004,-23553.675989359366,0.06530211865901947,37.42202753766032,1.8663091368942935
16,spherical,-22963.342148462594,-23644.815845489502,-23509.855633287912,0.10997101664543152,50.470583098274695,1.6066214867762794
17,full,-20524.086895187316,-23798.58943939209,inf,0.018419411033391953,31.41354311248784,2.3683170208709368
17,diag,-22490.029704543165,-23724.39715576172,-23053.171349310105,0.06849180161952972,38.58075950253384,1.9004855483113952
17,tied,-22918.969102159335,-23724.736743927002,-23520.529847375277,0.06615200638771057,37.29886923891563,1.748582248745319
17,spherical,-22926.643464361987,-23650.977142333984,-23494.410384840798,0.10371986776590347,48.666937946152935,1.635620027369638
18,full,-20305.799801826754,-23773.172260284424,inf,0.04447431117296219,34.851779323688255,2.1066616230654898
18,diag,-22431.3482789287,-23738.577697753906,-22930.525749701956,0.03511817380785942,33.400150982358454,1.894968002034579
18,tied,-22890.209549545572,-23734.55117416382,-23504.427280358508,0.06867661327123642,35.610220691347166,1.7536070059852464
18,spherical,-22892.486959369046,-23659.680618286133,-23479.17641660546,0.10701458901166916,47.87874789066661,1.6060616225487645
19,full,-20097.284017365113,-23757.526390075684,inf,0.027990195900201797,31.033980739170314,2.152181772504865
19,diag,-22368.83412397464,-23748.925510406494,-22776.90681881771,0.05650370195508003,36.130107212809556,1.8620544562465473
19,tied,-22857.23010252263,-23740.145709991455,-23481.709346355092,0.05722517520189285,34.73300747934535,1.712058674823505
19,spherical,-22845.4659219054,-23655.519561767578,-23448.545498367002,0.08483254164457321,46.56828905940656,1.6041974334908506
20,full,-19858.196531853668,-23711.30881881714,inf,0.041827019304037094,31.907281170744273,2.3159400475459013
20,diag,-22256.04177077839,-23708.995124816895,-22538.842840552934,0.060267578810453415,38.69532882139053,1.8758231051129015
20,tied,-22801.682414380302,-23723.172004699707,-23433.826210307187,0.08431171625852585,36.886298159366504,1.7272474968824683
20,spherical,-22816.828055523303,-23669.741676330566,-23433.539895915135,0.09448020905256271,45.61611545224497,1.6067768685669634
21,full,-19743.856089951845,-23789.838291168213,inf,0.020554305985569954,27.852917152596948,2.4066145880579843
21,diag,-22192.091622629745,-23717.906944274902,-22305.773610941564,0.05807958543300629,35.401004723422176,1.876883493223045
21,tied,-22778.45993680926,-23738.523509979248,-23415.446586902322,0.08650553226470947,38.026694665656606,1.5735699248492123
21,spherical,-22780.104789513516,-23675.87839126587,-23407.43802429339,0.10448619723320007,45.1130732232248,1.558316576140461
22,full,-19500.882614297578,-23739.734729766846,inf,0.03455936536192894,30.722695504339292,2.1609690919976874
22,diag,-22155.003355737208,-23753.680644989014,-22041.999663393926,0.03413131833076477,32.9772408992243,1.7760322352617914
22,tied,-22727.1055126745,-23725.74306869507,-23365.861880576256,0.08735363930463791,36.62016945874085,1.6185116079133364
22,spherical,-22758.370342626044,-23697.003925323486,-23393.029161916544,0.10343079268932343,43.23706835992478,1.5416907020505632
23,full,-19316.69062896924,-23748.412658691406,inf,0.04423244670033455,31.133336571666995,2.1529616443788564
23,diag,-22070.703483772646,-23742.242740631104,-21653.33863104206,0.07578125596046448,36.88737897516003,1.6451393903446978
23,tied,-22697.315568367623,-23734.52710723877,-23334.48629091224,0.08758387714624405,37.375152303861874,1.6209972985306151
23,spherical,-22717.6873407459,-23699.180904388428,-23356.05386855781,0.09667202085256577,41.42898474632577,1.5324545514518877
24,full,-19073.27672744217,-23697.868671417236,inf,0.039514560252428055,29.541712190624377,2.0862030831550835
24,diag,-21993.044824271463,-23737.446048736572,-21162.934420829584,0.05749961733818054,33.14247170487203,1.8457954212796481
24,tied,-22650.041741156692,-23725.827262878418,-23281.95357866789,0.09160973876714706,35.85128645606628,1.6764302052920712
24,spherical,-22662.142526274198,-23686.496070861816,-23300.23344459919,0.08881542831659317,39.666991842653786,1.557142580487307
25,full,-18872.75006346393,-23690.211921691895,inf,0.05372317135334015,30.855744963999836,1.9488174304633055
25,diag,-21895.962359533467,-23713.225551605225,-20495.36840874809,0.051252420991659164,31.81121137460525,1.8490102678735059
25,tied,-22603.073139318076,-23717.43264389038,-23225.693513455597,0.08552762866020203,34.175107117218054,1.7671525434230912
25,spherical,-22632.17313981153,-23699.38666534424,-23265.588755936573,0.10393088310956955,40.51282152719159,1.6169776829325206
26,full,-18713.10106595908,-23723.43283843994,inf,0.047270264476537704,29.51500024263716,1.9938019916361915
26,diag,-21836.449245991756,-23726.574405670166,-19622.95335303859,0.046602606773376465,31.12626087279146,1.78659786816759
26,tied,-22599.563304416715,-23752.4967918396,-23208.451848019376,0.09874159097671509,35.43738070518283,1.521470538016432
26,spherical,-22616.364981528797,-23726.43848800659,-23240.229101725006,0.09728160500526428,38.60269942526276,1.5876784150156413
27,full,-18531.502472049197,-23734.70415878296,inf,0.0596935898065567,31.558288616584463,1.9161307345260494
27,diag,-21765.024148960056,-23728.011276245117,-18337.7035839374,0.04832863062620163,29.426025359955513,1.8791155953899095
27,tied,-22556.29018292478,-23747.797653198242,-23146.541839244754,0.09230628609657288,34.107840280066085,1.612635978809442
27,spherical,-22532.99344586569,-23685.926933288574,-23141.88198946835,0.0894780233502388,37.69898217837486,1.5222523291331849
28,full,-18382.54455654508,-23778.61615753174,inf,0.04052393138408661,28.561809818963475,1.981833472997524
28,diag,-21696.62057826503,-23732.46967315674,-16319.35491905842,0.021084042266011238,27.09373022429794,1.8330641069337439
28,tied,-22511.394655426982,-23741.476108551025,-23077.572494093198,0.08361385017633438,33.1646720610163,1.674808479393393
28,spherical,-22515.88244639643,-23711.675914764404,-23103.738171573743,0.08198537677526474,37.0227767984521,1.4894677409936754
29,full,-18203.04976436249,-23791.99127960205,inf,0.06206103414297104,30.338779418409665,1.807931810825474
29,diag,-21613.84683316204,-23722.5578956604,-12697.285168387672,0.055754516273736954,31.463944156833623,1.681695858704527
