IDCode,index,narrative_gmm_bic_best_label,narrative_gmm_aicc_best_label,narrative_best_label
paxi044,0,1,5,5
pivi588,1,1,5,5
weda047,2,1,7,7
zoka501,3,1,7,7
hyku415,4,1,3,3
syvi476,5,1,7,7
kuqy630,6,1,2,2
node314,7,1,3,3
mybu425,8,1,3,3
pyqy867,9,0,8,8
tywo507,10,1,7,7
nuhi137,11,1,2,2
vuho146,12,0,1,1
nysa238,13,1,3,3
kisa730,14,1,5,5
doza768,15,1,2,2
sapu497,16,1,3,3
dila385,17,1,5,5
pymu787,18,0,5,5
bejy525,19,1,5,5
bajo794,20,1,5,5
dugu064,21,1,3,3
hiwu738,22,1,7,7
zucy684,23,1,2,2
huxe147,24,1,3,3
woza563,25,1,2,2
neku787,26,1,3,3
navo572,27,1,2,2
gola051,28,1,3,3
pyzo535,29,1,2,2
xoky149,30,1,5,5
loxu319,31,1,2,2
qisu640,32,1,5,5
gery678,33,1,3,3
huho039,34,1,3,3
wozo826,35,1,5,5
soru820,36,1,3,3
fari709,37,1,7,7
qapo730,38,1,2,2
najy705,39,0,3,3
sejy814,40,1,3,3
laze716,41,1,7,7
kojo378,42,0,6,6
tepu554,43,1,7,7
dyva324,44,1,2,2
pusu302,45,0,5,5
xamy888,46,1,2,2
ninu744,47,1,7,7
punu537,48,1,2,2
zufa556,49,1,7,7
losy787,50,0,6,6
fuxa711,51,0,4,4
myzo000,52,0,0,0
jygo886,53,1,7,7
dyzo734,54,0,5,5
ciky680,55,1,3,3
nopo152,56,1,3,3
tivy194,57,1,7,7
biry098,58,1,3,3
tebo981,59,1,3,3
jyma323,60,1,3,3
cani065,61,1,3,3
puxi257,62,1,2,2
jemy201,63,1,7,7
woqa919,64,1,3,3
huze427,65,1,2,2
jaxe723,66,1,5,5
xamy676,67,1,3,3
lowy720,68,1,5,5
mixa281,69,1,3,3
sipy389,70,1,3,3
bube109,71,1,7,7
boqe999,72,1,5,5
guzo911,73,1,3,3
guxe800,74,1,5,5
dove442,75,1,2,2
zivi062,76,1,2,2
lury747,77,1,3,3
tuve726,78,1,3,3
vihu826,79,0,6,6
hata313,80,1,5,5
hoki309,81,1,1,1
kyzy131,82,1,3,3
syti148,83,1,5,5
syco853,84,1,5,5
sefy975,85,1,2,2
jese656,86,0,8,8
guge611,87,1,2,2
mesi806,88,1,5,5
sesi698,89,1,7,7
gopa505,90,1,2,2
duwi894,91,0,0,0
hasa034,92,1,2,2
pile112,93,1,3,3
sivi804,94,0,1,1
maho931,95,1,2,2
waho571,96,1,2,2
mowy859,97,0,1,1
