w_Eta,w_Internal,w_ARI,Top1,Top1_Score,Top2,Top2_Score
0.0,0.0,1.0,Template B + MiniLM,1.0,Template B + MPNet,0.6286149162861493
0.0,0.1,0.9,Template B + MiniLM,0.9458626512012785,Template B + MPNet,0.630872631610338
0.0,0.2,0.8,Template B + MiniLM,0.8917253024025571,Template B + MPNet,0.6331303469345266
0.0,0.3,0.7,Template B + MiniLM,0.8375879536038354,Template A + MiniLM,0.6505578695195002
0.0,0.4,0.6,Template B + MiniLM,0.783450604805114,Template A + MiniLM,0.6927529584460916
0.0,0.5,0.5,Template A + MiniLM,0.734948047372683,Template B + MiniLM,0.7293132560063925
0.0,0.6,0.4,Template A + MiniLM,0.7771431362992745,Template A + MPNet,0.7446642495981712
0.0,0.7,0.3,Template A + MiniLM,0.8193382252258659,Template A + MPNet,0.7891199604013165
0.0,0.8,0.2,Template A + MiniLM,0.8615333141524575,Template A + MPNet,0.8335756712044619
0.0,0.9,0.1,Template A + MiniLM,0.9037284030790488,Template A + MPNet,0.878031382007607
0.0,1.0,0.0,Template A + MiniLM,0.9459234920056402,Template A + MPNet,0.9224870928107523
0.1,0.0,0.9,Template B + MiniLM,0.9991771159874608,Template B + MPNet,0.6657534246575344
0.1,0.1,0.8,Template B + MiniLM,0.9450397671887394,Template B + MPNet,0.668011139981723
0.1,0.2,0.7,Template B + MiniLM,0.8909024183900178,Template B + MPNet,0.6702688553059116
0.1,0.3,0.6,Template B + MiniLM,0.8367650695912963,Template A + MiniLM,0.6899121766436467
0.1,0.4,0.5,Template B + MiniLM,0.7826277207925748,Template A + MiniLM,0.7321072655702383
0.1,0.5,0.4,Template A + MiniLM,0.7743023544968296,Template A + MPNet,0.7446569196274408
0.1,0.6,0.3,Template A + MiniLM,0.816497443423421,Template A + MPNet,0.7891126304305861
0.1,0.7,0.2,Template A + MiniLM,0.8586925323500125,Template A + MPNet,0.8335683412337314
0.1,0.8,0.1,Template A + MiniLM,0.9008876212766039,Template A + MPNet,0.8780240520368766
0.1,0.9,0.0,Template A + MiniLM,0.9430827102031953,Template A + MPNet,0.9224797628400219
0.2,0.0,0.8,Template B + MiniLM,0.9983542319749217,Template B + MPNet,0.7028919330289194
0.2,0.1,0.7,Template B + MiniLM,0.9442168831762001,Template B + MPNet,0.7051496483531081
0.2,0.2,0.6,Template B + MiniLM,0.8900795343774786,Template B + MPNet,0.7074073636772967
0.2,0.3,0.5,Template B + MiniLM,0.8359421855787571,Template A + MiniLM,0.7292664837677933
0.2,0.4,0.4,Template B + MiniLM,0.7818048367800357,Template A + MiniLM,0.7714615726943848
0.2,0.5,0.3,Template A + MiniLM,0.813656661620976,Template A + MPNet,0.7891053004598557
